ldf_num,condition,partnersExposure,label,exposures,trueClickPoints,trueLabelPoints,pointCost,speechCost,testCorrect,known,estimated_p,appearance,method,score,action
3,100_30,0,kiv,1,30,100,70,0,1,TRUE,0.44798262786500326,1,teach,30,teach
3,100_30,0,kiv,1,30,100,70,0,1,TRUE,0.44798262786500326,2,point,30,point
3,100_30,0,kiv,1,30,100,70,0,1,TRUE,0.44798262786500326,3,point,30,speak
3,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.44798262786500326,1,teach,30,teach
3,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.44798262786500326,2,speak,100,teach
3,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.44798262786500326,3,speak,100,speak
3,100_30,0,manu,2,30,100,70,0,0,FALSE,0.44798262786500326,1,teach,30,point
3,100_30,0,manu,2,30,100,70,0,0,FALSE,0.44798262786500326,2,point,30,point
3,100_30,0,manu,2,30,100,70,0,0,FALSE,0.44798262786500326,3,point,30,point
3,100_30,0,toma,4,30,100,70,0,1,TRUE,0.44798262786500326,1,teach,30,point
3,100_30,0,toma,4,30,100,70,0,1,TRUE,0.44798262786500326,2,speak,100,teach
3,100_30,0,toma,4,30,100,70,0,1,TRUE,0.44798262786500326,3,speak,100,speak
3,100_30,0,wug,2,30,100,70,0,1,TRUE,0.44798262786500326,1,point,30,teach
3,100_30,0,wug,2,30,100,70,0,1,TRUE,0.44798262786500326,2,teach,30,point
3,100_30,0,wug,2,30,100,70,0,1,TRUE,0.44798262786500326,3,speak,100,teach
4,100_30,0,blicket,1,30,100,70,0,0,FALSE,0.1332431580382871,1,teach,30,point
4,100_30,0,blicket,1,30,100,70,0,0,FALSE,0.1332431580382871,2,speak,100,point
4,100_30,0,blicket,1,30,100,70,0,0,FALSE,0.1332431580382871,3,speak,100,point
4,100_30,0,dax,2,30,100,70,0,0,FALSE,0.1332431580382871,1,point,30,point
4,100_30,0,dax,2,30,100,70,0,0,FALSE,0.1332431580382871,2,teach,30,point
4,100_30,0,dax,2,30,100,70,0,0,FALSE,0.1332431580382871,3,speak,100,point
4,100_30,0,fep,4,30,100,70,0,1,TRUE,0.1332431580382871,1,point,30,teach
4,100_30,0,fep,4,30,100,70,0,1,TRUE,0.1332431580382871,2,point,30,speak
4,100_30,0,fep,4,30,100,70,0,1,TRUE,0.1332431580382871,3,teach,30,speak
4,100_30,0,gazzer,4,30,100,70,0,0,FALSE,0.1332431580382871,1,point,30,point
4,100_30,0,gazzer,4,30,100,70,0,0,FALSE,0.1332431580382871,2,point,30,point
4,100_30,0,gazzer,4,30,100,70,0,0,FALSE,0.1332431580382871,3,point,30,point
4,100_30,0,kiv,1,30,100,70,0,0,FALSE,0.1332431580382871,1,point,30,point
4,100_30,0,kiv,1,30,100,70,0,0,FALSE,0.1332431580382871,2,teach,30,point
4,100_30,0,kiv,1,30,100,70,0,0,FALSE,0.1332431580382871,3,speak,100,point
4,100_30,0,kreeb,2,30,100,70,0,0,FALSE,0.1332431580382871,1,point,30,point
4,100_30,0,kreeb,2,30,100,70,0,0,FALSE,0.1332431580382871,2,point,30,point
4,100_30,0,kreeb,2,30,100,70,0,0,FALSE,0.1332431580382871,3,point,30,point
4,100_30,0,manu,1,30,100,70,0,0,FALSE,0.1332431580382871,1,point,30,point
4,100_30,0,manu,1,30,100,70,0,0,FALSE,0.1332431580382871,2,speak,0,point
4,100_30,0,manu,1,30,100,70,0,0,FALSE,0.1332431580382871,3,point,30,point
4,100_30,0,toma,2,30,100,70,0,0,FALSE,0.1332431580382871,1,point,30,point
4,100_30,0,toma,2,30,100,70,0,0,FALSE,0.1332431580382871,2,point,30,point
4,100_30,0,toma,2,30,100,70,0,0,FALSE,0.1332431580382871,3,point,30,point
4,100_30,0,wug,4,30,100,70,0,1,TRUE,0.1332431580382871,1,point,30,point
4,100_30,0,wug,4,30,100,70,0,1,TRUE,0.1332431580382871,2,point,30,teach
4,100_30,0,wug,4,30,100,70,0,1,TRUE,0.1332431580382871,3,teach,30,speak
5,100_30,0,blicket,2,30,100,70,0,1,TRUE,0.9072033473374291,1,speak,0,teach
5,100_30,0,blicket,2,30,100,70,0,1,TRUE,0.9072033473374291,2,point,30,speak
5,100_30,0,blicket,2,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,0,speak
5,100_30,0,dax,2,30,100,70,0,1,TRUE,0.9072033473374291,1,point,30,teach
5,100_30,0,dax,2,30,100,70,0,1,TRUE,0.9072033473374291,2,teach,30,speak
