ldf_num,condition,partnersExposureDescriptive,label,exposures,trueClickPoints,trueLabelPoints,pointCost,speechCost,testCorrect,known,estimated_p,appearance,method,score,partnersExposure,alpha,discount,action,likelihood
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3365565184902743,0.49872715128769135,teach,-1.9455016050447114
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,Second,speak,100,0,1.3365565184902743,0.49872715128769135,speak,-0.33663570097121104
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.3365565184902743,0.49872715128769135,teach,-0.33663570097121104
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3365565184902743,0.49872715128769135,teach,-1.9455016050447114
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,Second,teach,30,0,1.3365565184902743,0.49872715128769135,speak,-1.9455016050447096
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.3365565184902743,0.49872715128769135,speak,-0.33663570097121104
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,First,point,30,0,1.3365565184902743,0.49872715128769135,speak,-1.9455016050447114
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,Second,point,30,0,1.3365565184902743,0.49872715128769135,speak,-1.9455016050447096
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,Third,point,30,0,1.3365565184902743,0.49872715128769135,speak,-1.94550160504471
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3365565184902743,0.49872715128769135,teach,-1.9455016050447114
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,Second,speak,100,0,1.3365565184902743,0.49872715128769135,point,-0.33663570097121104
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.3365565184902743,0.49872715128769135,speak,-0.33663570097121104
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3365565184902743,0.49872715128769135,point,-1.9455016050447114
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,Second,teach,30,0,1.3365565184902743,0.49872715128769135,speak,-1.9455016050447096
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.3365565184902743,0.49872715128769135,speak,-0.33663570097121104
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,First,teach,30,0,1.3365565184902743,0.49872715128769135,speak,-1.9455016050447114
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,Second,speak,100,0,1.3365565184902743,0.49872715128769135,speak,-0.33663570097121104
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,Third,speak,100,0,1.3365565184902743,0.49872715128769135,speak,-0.33663570097121104
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,First,point,30,0,1.3365565184902743,0.49872715128769135,speak,-1.9455016050447114
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,Second,teach,30,0,1.3365565184902743,0.49872715128769135,point,-1.9455016050447096
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,Third,speak,100,0,1.3365565184902743,0.49872715128769135,teach,-0.33663570097121104
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3365565184902743,0.49872715128769135,speak,-1.9455016050447114
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,Second,speak,100,0,1.3365565184902743,0.49872715128769135,teach,-0.33663570097121104
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.3365565184902743,0.49872715128769135,speak,-0.33663570097121104
1,100_30,None,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3365565184902743,0.49872715128769135,speak,-1.9455016050447114
