Iteration,Chain,Parameter,value
1,1,score,-18.768844147240497
2,1,score,-18.768218389638346
3,1,score,-18.768218389637763
4,1,score,-18.76821838963735
5,1,score,-18.76821839002754
6,1,score,-18.76821839002754
7,1,score,-18.76821839002754
8,1,score,-18.768218391158047
9,1,score,-18.76821838963736
10,1,score,-18.76821838963736
11,1,score,-18.76821838963736
12,1,score,-18.76821838963736
13,1,score,-18.768234212198408
14,1,score,-19.080675571901715
15,1,score,-18.768218392529377
16,1,score,-18.768218390295324
17,1,score,-18.768218389960417
18,1,score,-18.76821838963735
19,1,score,-18.83839956024511
20,1,score,-18.768218389637386
21,1,score,-18.76821838963736
22,1,score,-18.768218389637383
23,1,score,-18.768218389637376
24,1,score,-18.768219594700923
25,1,score,-18.768219594700923
26,1,score,-18.776551535988
27,1,score,-19.11390329115615
28,1,score,-18.812880527137693
29,1,score,-18.76821838965285
30,1,score,-18.768218389637376
31,1,score,-18.768221991819697
32,1,score,-18.768220794512015
33,1,score,-18.799684390016942
34,1,score,-18.76822234313115
35,1,score,-18.768219666509786
36,1,score,-18.7682660333923
37,1,score,-18.76854706515919
38,1,score,-19.27424305500952
39,1,score,-18.775123129848446
40,1,score,-18.768257918878774
41,1,score,-18.76822148580159
42,1,score,-18.768218389637376
43,1,score,-18.768218389637376
44,1,score,-18.768218389637376
45,1,score,-18.768218389637376
46,1,score,-18.76821838963736
47,1,score,-18.76821838963736
48,1,score,-18.76821838963736
49,1,score,-18.768218452156084
50,1,score,-18.771769227223103
51,1,score,-18.770124377390346
52,1,score,-18.768220223178808
53,1,score,-18.768218558140653
54,1,score,-18.768218845074166
55,1,score,-18.768218662510442
56,1,score,-18.76835797701139
57,1,score,-18.76821839063252
58,1,score,-18.768218437190917
59,1,score,-18.768573043664937
60,1,score,-18.76821838963736
61,1,score,-18.76821838963736
62,1,score,-18.7686638722258
63,1,score,-18.788336934495085
64,1,score,-18.768218389638058
65,1,score,-18.76851273005312
66,1,score,-18.76823741843503
67,1,score,-18.768218389637337
68,1,score,-18.76821838963736
69,1,score,-18.76821838963736
70,1,score,-18.76821838963736
71,1,score,-18.768218389653335
