Iteration,Chain,Parameter,value
1,1,score,-33.92106304065487
2,1,score,-33.92106304065487
3,1,score,-33.92106304065487
4,1,score,-33.92106304065487
5,1,score,-33.901170573431315
6,1,score,-33.901170573431315
7,1,score,-33.901170573431315
8,1,score,-33.901170573431315
9,1,score,-33.921991320652374
10,1,score,-33.870196580147734
11,1,score,-32.9513293182612
12,1,score,-32.9513293182612
13,1,score,-32.9990668236779
14,1,score,-32.9990668236779
15,1,score,-32.9990668236779
16,1,score,-32.97944656019372
17,1,score,-32.949235116204434
18,1,score,-32.99509158413024
19,1,score,-33.00286800789679
20,1,score,-32.994794964502155
21,1,score,-33.003468305286795
22,1,score,-32.958353808826814
23,1,score,-32.958353808826814
24,1,score,-32.958353808826814
25,1,score,-32.958353808826814
26,1,score,-32.958353808826814
27,1,score,-32.958353808826814
28,1,score,-32.958353808826814
29,1,score,-32.950205447014625
30,1,score,-33.0007703258207
31,1,score,-33.0007703258207
32,1,score,-33.0007703258207
33,1,score,-33.0007703258207
34,1,score,-33.0007703258207
35,1,score,-32.97271509495215
36,1,score,-32.98365210820262
37,1,score,-32.98659629896894
38,1,score,-32.98659629896894
39,1,score,-32.986716267944594
40,1,score,-32.986716267944594
41,1,score,-32.9893832618634
42,1,score,-33.00234607115162
43,1,score,-33.00234607115162
44,1,score,-32.97675676038912
45,1,score,-32.97880710212277
46,1,score,-32.99563644987217
47,1,score,-33.00548791547986
48,1,score,-32.99784311283008
49,1,score,-32.99784311283008
50,1,score,-32.99784311283008
51,1,score,-32.99784311283008
52,1,score,-32.9513083308496
53,1,score,-32.9513083308496
54,1,score,-32.9513083308496
55,1,score,-32.94693150462546
56,1,score,-32.94693150462546
57,1,score,-32.94693150462546
58,1,score,-32.97173950748938
59,1,score,-32.9944705890382
60,1,score,-32.97739000678907
61,1,score,-32.97739000678907
62,1,score,-32.97739000678907
63,1,score,-32.97739000678907
64,1,score,-32.97739000678907
65,1,score,-32.998828694679155
66,1,score,-32.97452559620679
67,1,score,-32.963688276275676
68,1,score,-32.963688276275676
69,1,score,-32.99501198397068
70,1,score,-32.99501198397068
71,1,score,-32.97121972071055
72,1,score,-32.97121972071055
73,1,score,-32.981372329226126
74,1,score,-32.98383449445336
75,1,score,-32.98476748694889
76,1,score,-32.98476748694889
77,1,score,-32.98476748694889
78,1,score,-32.98476748694889
79,1,score,-32.98476748694889
80,1,score,-32.98476748694889
81,1,score,-32.98476748694889
82,1,score,-33.00000509732237
83,1,score,-33.00000509732237
84,1,score,-33.002301644161975
85,1,score,-33.002301644161975
86,1,score,-33.002301644161975
87,1,score,-33.00006604275148
88,1,score,-33.00006604275148
89,1,score,-33.00006604275148
90,1,score,-32.955724590174
91,1,score,-32.955724590174
92,1,score,-32.99804456013241
93,1,score,-32.99804456013241
94,1,score,-32.99804456013241
95,1,score,-32.99804456013241
96,1,score,-32.99118988777219
97,1,score,-32.96648286329196
98,1,score,-32.96648286329196
99,1,score,-32.96648286329196
100,1,score,-32.97436642171068
101,1,score,-32.97436642171068
102,1,score,-32.95448440723974
103,1,score,-33.00493707117429
104,1,score,-32.95949190624594
105,1,score,-32.96821748107649
106,1,score,-32.96821748107649
107,1,score,-32.99645558135375
108,1,score,-33.001993241620525
109,1,score,-33.001993241620525
110,1,score,-33.001993241620525
111,1,score,-33.004116776365365
112,1,score,-33.004116776365365
113,1,score,-32.97227880073755
114,1,score,-32.97227880073755
115,1,score,-32.97227880073755
116,1,score,-33.0000526820622
117,1,score,-33.0000526820622
118,1,score,-33.0000526820622
119,1,score,-32.975677120053646
120,1,score,-32.975677120053646
121,1,score,-32.975677120053646
122,1,score,-32.9545729510208
123,1,score,-32.946221758234614
124,1,score,-32.946221758234614
125,1,score,-32.989202009663195
126,1,score,-32.990080320319976
127,1,score,-32.990080320319976
128,1,score,-32.98289986484022
129,1,score,-32.98289986484022
130,1,score,-32.968473657127085
131,1,score,-32.9602329908026
132,1,score,-32.95985173869193
133,1,score,-32.944880120366165
134,1,score,-32.99421988608065
135,1,score,-32.99421988608065
136,1,score,-32.99421988608065
137,1,score,-32.99421988608065
138,1,score,-32.95305866340747
139,1,score,-32.94471565370247
140,1,score,-32.97323486654143
141,1,score,-32.97323486654143
142,1,score,-32.95505203978432
143,1,score,-32.995677426888356
144,1,score,-32.995677426888356
145,1,score,-32.955806345076454
146,1,score,-32.955806345076454
147,1,score,-32.9695806727744
148,1,score,-32.96196458316744
149,1,score,-32.96196458316744
150,1,score,-32.96196458316744
151,1,score,-32.96196458316744
152,1,score,-32.96196458316744
153,1,score,-32.99206539421703
154,1,score,-32.95426228911109
155,1,score,-33.00424831406201
156,1,score,-33.00424831406201
157,1,score,-33.004180096986644
158,1,score,-33.004180096986644
159,1,score,-33.004180096986644
160,1,score,-33.004180096986644
161,1,score,-32.94653968173599
162,1,score,-32.94653968173599
163,1,score,-32.97128649025084
164,1,score,-33.00194091231953
165,1,score,-33.00194091231953
166,1,score,-33.00194091231953
167,1,score,-32.9709218103758
168,1,score,-32.98307898450657
169,1,score,-32.98307898450657
170,1,score,-32.98307898450657
171,1,score,-32.98307898450657
172,1,score,-32.98307898450657
173,1,score,-32.9753687488414
174,1,score,-33.00173436338873
175,1,score,-33.00173436338873
176,1,score,-33.00022570303796
177,1,score,-33.003760638774196
178,1,score,-33.003760638774196
179,1,score,-32.95865198551593
180,1,score,-33.00151405918656
181,1,score,-32.99202941938144
182,1,score,-33.00485485924074
183,1,score,-33.00485485924074
184,1,score,-32.94814013718622
185,1,score,-32.94814013718622
186,1,score,-32.94814013718622
187,1,score,-32.80930250114442
188,1,score,-32.82346729068358
189,1,score,-32.82346729068358
190,1,score,-32.82346729068358
191,1,score,-32.810334823431475
192,1,score,-32.810334823431475
193,1,score,-32.810334823431475
194,1,score,-32.810334823431475
195,1,score,-32.810334823431475
196,1,score,-32.81808570927806
197,1,score,-32.830242371978386
198,1,score,-32.830242371978386
199,1,score,-32.83089067356199
200,1,score,-32.83089067356199
1,1,alpha,0.117752170245784
2,1,alpha,0.117752170245784
3,1,alpha,0.117752170245784
4,1,alpha,0.117752170245784
5,1,alpha,0.117752170245784
6,1,alpha,0.117752170245784
7,1,alpha,0.117752170245784
8,1,alpha,0.117752170245784
9,1,alpha,0.117752170245784
10,1,alpha,0.117752170245784
11,1,alpha,0.05258659986711933
12,1,alpha,0.05258659986711933
13,1,alpha,0.05258659986711933
14,1,alpha,0.05258659986711933
15,1,alpha,0.05258659986711933
16,1,alpha,0.05258659986711933
17,1,alpha,0.05258659986711933
18,1,alpha,0.05258659986711933
19,1,alpha,0.05258659986711933
20,1,alpha,0.05258659986711933
21,1,alpha,0.05258659986711933
22,1,alpha,0.05258659986711933
23,1,alpha,0.05258659986711933
24,1,alpha,0.05258659986711933
25,1,alpha,0.05258659986711933
26,1,alpha,0.05258659986711933
27,1,alpha,0.05258659986711933
28,1,alpha,0.05258659986711933
29,1,alpha,0.05258659986711933
30,1,alpha,0.05258659986711933
31,1,alpha,0.05258659986711933
32,1,alpha,0.05258659986711933
33,1,alpha,0.05258659986711933
34,1,alpha,0.05258659986711933
35,1,alpha,0.05258659986711933
36,1,alpha,0.05258659986711933
37,1,alpha,0.05258659986711933
38,1,alpha,0.05258659986711933
39,1,alpha,0.05258659986711933
40,1,alpha,0.05258659986711933
41,1,alpha,0.05258659986711933
42,1,alpha,0.05258659986711933
43,1,alpha,0.05258659986711933
44,1,alpha,0.05258659986711933
45,1,alpha,0.05258659986711933
46,1,alpha,0.05258659986711933
47,1,alpha,0.05258659986711933
48,1,alpha,0.05258659986711933
49,1,alpha,0.05258659986711933
50,1,alpha,0.05258659986711933
51,1,alpha,0.05258659986711933
52,1,alpha,0.05258659986711933
53,1,alpha,0.05258659986711933
54,1,alpha,0.05258659986711933
55,1,alpha,0.05258659986711933
56,1,alpha,0.05258659986711933
57,1,alpha,0.05258659986711933
58,1,alpha,0.05258659986711933
59,1,alpha,0.05258659986711933
60,1,alpha,0.05258659986711933
61,1,alpha,0.05258659986711933
62,1,alpha,0.05258659986711933
63,1,alpha,0.05258659986711933
64,1,alpha,0.05258659986711933
65,1,alpha,0.05258659986711933
66,1,alpha,0.05258659986711933
67,1,alpha,0.05258659986711933
68,1,alpha,0.05258659986711933
69,1,alpha,0.05258659986711933
70,1,alpha,0.05258659986711933
71,1,alpha,0.05258659986711933
72,1,alpha,0.05258659986711933
73,1,alpha,0.05258659986711933
74,1,alpha,0.05258659986711933
75,1,alpha,0.05258659986711933
76,1,alpha,0.05258659986711933
77,1,alpha,0.05258659986711933
78,1,alpha,0.05258659986711933
79,1,alpha,0.05258659986711933
80,1,alpha,0.05258659986711933
81,1,alpha,0.05258659986711933
82,1,alpha,0.05258659986711933
83,1,alpha,0.05258659986711933
84,1,alpha,0.05258659986711933
85,1,alpha,0.05258659986711933
86,1,alpha,0.05258659986711933
87,1,alpha,0.05258659986711933
88,1,alpha,0.05258659986711933
89,1,alpha,0.05258659986711933
90,1,alpha,0.05258659986711933
91,1,alpha,0.05258659986711933
92,1,alpha,0.05258659986711933
93,1,alpha,0.05258659986711933
94,1,alpha,0.05258659986711933
95,1,alpha,0.05258659986711933
96,1,alpha,0.05258659986711933
97,1,alpha,0.05258659986711933
98,1,alpha,0.05258659986711933
99,1,alpha,0.05258659986711933
100,1,alpha,0.05258659986711933
101,1,alpha,0.05258659986711933
102,1,alpha,0.05258659986711933
103,1,alpha,0.05258659986711933
104,1,alpha,0.05258659986711933
105,1,alpha,0.05258659986711933
106,1,alpha,0.05258659986711933
107,1,alpha,0.05258659986711933
108,1,alpha,0.05258659986711933
109,1,alpha,0.05258659986711933
110,1,alpha,0.05258659986711933
111,1,alpha,0.05258659986711933
112,1,alpha,0.05258659986711933
113,1,alpha,0.05258659986711933
114,1,alpha,0.05258659986711933
115,1,alpha,0.05258659986711933
116,1,alpha,0.05258659986711933
117,1,alpha,0.05258659986711933
118,1,alpha,0.05258659986711933
119,1,alpha,0.05258659986711933
120,1,alpha,0.05258659986711933
121,1,alpha,0.05258659986711933
122,1,alpha,0.05258659986711933
123,1,alpha,0.05258659986711933
124,1,alpha,0.05258659986711933
125,1,alpha,0.05258659986711933
126,1,alpha,0.05258659986711933
127,1,alpha,0.05258659986711933
128,1,alpha,0.05258659986711933
129,1,alpha,0.05258659986711933
130,1,alpha,0.05258659986711933
