Iteration,Chain,Parameter,value
1,1,score,-32.94447131806606
2,1,score,-31.598412929221873
3,1,score,-30.812509533265178
4,1,score,-30.812509533265178
5,1,score,-30.812509533265178
6,1,score,-29.81405554317149
7,1,score,-29.596848086415932
8,1,score,-29.67309280659184
9,1,score,-29.890880598079754
10,1,score,-29.890880598079754
11,1,score,-31.041503820016977
12,1,score,-31.041503820016977
13,1,score,-29.497790822322713
14,1,score,-29.437714059245724
15,1,score,-29.488393434995658
16,1,score,-29.548118399617344
17,1,score,-29.548118399617344
18,1,score,-29.509008891850165
19,1,score,-29.65691996317242
20,1,score,-29.719057474189846
21,1,score,-29.58332866184987
22,1,score,-29.56258064753922
23,1,score,-29.760160249209
24,1,score,-29.446692787220933
25,1,score,-29.446692787220933
26,1,score,-29.48916764545867
27,1,score,-29.48916764545867
28,1,score,-29.48916764545867
29,1,score,-29.75628220186796
30,1,score,-29.75628220186796
31,1,score,-29.778751797933694
32,1,score,-29.778751797933694
33,1,score,-29.855720983146618
34,1,score,-29.50105426600426
35,1,score,-29.50105426600426
36,1,score,-29.575809125591377
37,1,score,-29.389696656553163
38,1,score,-29.612392087768846
39,1,score,-29.56759020697927
40,1,score,-29.628456764085406
41,1,score,-29.451411678675832
42,1,score,-29.38550016439237
43,1,score,-29.37699162096994
44,1,score,-29.424521706236092
45,1,score,-29.4363807514747
46,1,score,-29.655892348779723
47,1,score,-29.68535991335218
48,1,score,-29.68535991335218
49,1,score,-29.549586782680578
50,1,score,-29.5157539954723
51,1,score,-29.587146436908906
52,1,score,-29.587146436908906
53,1,score,-29.587146436908906
54,1,score,-29.370561074462525
55,1,score,-29.437290877567644
56,1,score,-29.63894294366883
57,1,score,-29.442918428948676
58,1,score,-29.394292913659854
59,1,score,-29.511126713765528
60,1,score,-29.511126713765528
61,1,score,-30.541856782459327
62,1,score,-29.636383932918033
63,1,score,-29.636383932918033
64,1,score,-29.636383932918033
65,1,score,-29.636383932918033
66,1,score,-29.47252114998045
67,1,score,-29.47252114998045
68,1,score,-29.428253501575234
69,1,score,-29.428253501575234
70,1,score,-29.714514291673915
71,1,score,-29.714514291673915
72,1,score,-29.714514291673915
73,1,score,-29.714514291673915
74,1,score,-29.57322061720452
75,1,score,-29.374808867148758
76,1,score,-29.391338465209138
77,1,score,-29.37414866529528
78,1,score,-29.368394225118195
79,1,score,-29.386254252085244
80,1,score,-29.398581509361627
81,1,score,-29.398581509361627
82,1,score,-29.398581509361627
83,1,score,-29.371625972199098
84,1,score,-29.38498980250168
85,1,score,-29.39424429583807
86,1,score,-29.36066361149901
87,1,score,-29.382530093888448
88,1,score,-29.374222211384193
89,1,score,-29.369791941755786
90,1,score,-29.370027568379832
91,1,score,-29.370027568379832
