Iteration,Chain,Parameter,value
1,1,score,-31.501180987328645
2,1,score,-31.501180987328645
3,1,score,-31.501180987328645
4,1,score,-31.501180987328645
5,1,score,-31.501180987328645
6,1,score,-31.506641509364727
7,1,score,-31.761836111681465
8,1,score,-31.761836111681465
9,1,score,-31.761836111681465
10,1,score,-31.761836111681465
11,1,score,-31.76751615042886
12,1,score,-31.690669555454466
13,1,score,-31.690669555454466
14,1,score,-31.690669555454466
15,1,score,-31.690669555454466
16,1,score,-31.690669555454466
17,1,score,-31.607832107125347
18,1,score,-31.774767040808605
19,1,score,-31.7499653795574
20,1,score,-31.7499653795574
21,1,score,-31.73380769732501
22,1,score,-31.73380769732501
23,1,score,-31.65995187174336
24,1,score,-31.626185792320054
25,1,score,-31.626185792320054
26,1,score,-31.626185792320054
27,1,score,-31.804220331688775
28,1,score,-31.804220331688775
29,1,score,-31.804220331688775
30,1,score,-31.804220331688775
31,1,score,-31.755020032305126
32,1,score,-31.755020032305126
33,1,score,-31.65544130277069
34,1,score,-31.771203377654214
35,1,score,-31.771203377654214
36,1,score,-31.598783344148206
37,1,score,-31.803665058963595
38,1,score,-31.803665058963595
39,1,score,-31.803665058963595
40,1,score,-31.803665058963595
41,1,score,-31.803665058963595
42,1,score,-31.852989273412593
43,1,score,-31.852989273412593
44,1,score,-31.647804596686754
45,1,score,-31.637226289981502
46,1,score,-31.480028347471364
47,1,score,-31.637629971977347
48,1,score,-31.787455971258048
49,1,score,-31.748652824179107
50,1,score,-31.748652824179107
51,1,score,-31.642881466636524
52,1,score,-31.775223266623083
53,1,score,-31.775223266623083
54,1,score,-31.85465252156224
55,1,score,-31.76401032203113
56,1,score,-31.75601550691055
57,1,score,-31.75601550691055
58,1,score,-31.692650459634102
59,1,score,-31.692650459634102
60,1,score,-31.482637719527105
61,1,score,-31.482637719527105
62,1,score,-31.767590914460424
63,1,score,-31.855301043189762
64,1,score,-31.855301043189762
65,1,score,-31.705624478725746
66,1,score,-31.705624478725746
67,1,score,-31.836079139566518
68,1,score,-31.852688792619432
69,1,score,-31.852688792619432
70,1,score,-31.852688792619432
71,1,score,-31.852688792619432
72,1,score,-31.733913089257356
73,1,score,-31.724322486098636
74,1,score,-31.61172446364578
75,1,score,-31.544123713175434
76,1,score,-31.630017400101742
77,1,score,-31.509128139720687
78,1,score,-31.509128139720687
79,1,score,-31.833410554774982
80,1,score,-31.78535072100312
81,1,score,-31.50173291313218
82,1,score,-31.50173291313218
83,1,score,-31.50173291313218
84,1,score,-31.50173291313218
85,1,score,-31.630977080697882
86,1,score,-31.630977080697882
87,1,score,-31.609393569535634
88,1,score,-31.75652264808855
89,1,score,-31.58802252704084
90,1,score,-31.58802252704084
91,1,score,-31.58802252704084
92,1,score,-31.653077559150802
93,1,score,-31.653077559150802
94,1,score,-31.653077559150802
95,1,score,-31.653077559150802
96,1,score,-31.653077559150802
97,1,score,-31.75887685946611
98,1,score,-31.75887685946611
99,1,score,-31.75887685946611
100,1,score,-31.75887685946611
101,1,score,-31.75887685946611
102,1,score,-31.75887685946611
103,1,score,-31.75887685946611
104,1,score,-31.6851973983238
105,1,score,-31.6851973983238
106,1,score,-31.6851973983238
107,1,score,-31.824386256610996
108,1,score,-31.824386256610996
109,1,score,-31.637526553003163
110,1,score,-31.578860411565024
111,1,score,-31.838615199206465
112,1,score,-31.51198602483115
113,1,score,-31.51198602483115
114,1,score,-31.623036864295866
115,1,score,-31.767450186161938
116,1,score,-31.767450186161938
117,1,score,-31.47244977772856
118,1,score,-31.47244977772856
119,1,score,-31.47244977772856
120,1,score,-31.47244977772856
121,1,score,-31.47244977772856
122,1,score,-31.47244977772856
123,1,score,-31.602845371248034
124,1,score,-31.602845371248034
125,1,score,-31.602845371248034
126,1,score,-31.602845371248034
127,1,score,-31.62430782368741
128,1,score,-31.640919084888175
129,1,score,-31.621844464415144
130,1,score,-31.621844464415144
131,1,score,-31.621844464415144
132,1,score,-31.792596300975184
133,1,score,-31.837808458628267
134,1,score,-31.61743021288997
135,1,score,-31.794413206612468
136,1,score,-31.637817808419893
137,1,score,-31.637817808419893
138,1,score,-31.58610757309897
139,1,score,-31.491139431396896
140,1,score,-31.491139431396896
141,1,score,-31.491139431396896
142,1,score,-31.491139431396896
143,1,score,-31.627004401689874
144,1,score,-31.811324482970075
145,1,score,-31.811324482970075
146,1,score,-31.811324482970075
147,1,score,-31.811324482970075
148,1,score,-31.623240779402373
149,1,score,-31.623240779402373
150,1,score,-31.654813883870474
151,1,score,-31.654813883870474
152,1,score,-31.533978539272496
153,1,score,-31.70622985952965
154,1,score,-31.802041764953756
155,1,score,-31.802041764953756
156,1,score,-31.802041764953756
157,1,score,-31.802041764953756
158,1,score,-31.750475034983722
159,1,score,-31.750475034983722
160,1,score,-31.507837752630465
161,1,score,-31.507837752630465
162,1,score,-31.507837752630465
163,1,score,-31.507837752630465
164,1,score,-31.835828918719848
165,1,score,-31.835828918719848
166,1,score,-31.835828918719848
167,1,score,-31.705105148400445
168,1,score,-31.589232376579258
169,1,score,-31.589232376579258
170,1,score,-31.81615434490626
171,1,score,-31.81615434490626
172,1,score,-31.855253959018174
173,1,score,-31.81898464984586
174,1,score,-31.4888339190962
175,1,score,-31.4888339190962
176,1,score,-31.521838022649796
177,1,score,-31.521838022649796
178,1,score,-31.770445530201687
179,1,score,-31.782854839172913
180,1,score,-31.552141106760743
181,1,score,-31.552141106760743
182,1,score,-31.552141106760743
183,1,score,-31.552141106760743
184,1,score,-31.770417805423747
185,1,score,-31.484738169774435
186,1,score,-31.484738169774435
187,1,score,-31.77194796337087
188,1,score,-31.983763325300906
189,1,score,-31.97246038499278
190,1,score,-32.02045355027863
191,1,score,-32.02045355027863
192,1,score,-32.02045355027863
193,1,score,-31.89145158902189
194,1,score,-31.89145158902189
195,1,score,-31.794981402644325
196,1,score,-31.975703852076812
197,1,score,-31.77866453371893
198,1,score,-31.77866453371893
199,1,score,-31.77866453371893
200,1,score,-31.82189039595552
1,1,alpha,0.15246917153672435
2,1,alpha,0.15246917153672435
3,1,alpha,0.15246917153672435
4,1,alpha,0.15246917153672435
5,1,alpha,0.15246917153672435
6,1,alpha,0.15246917153672435
7,1,alpha,0.15246917153672435
8,1,alpha,0.15246917153672435
9,1,alpha,0.15246917153672435
10,1,alpha,0.15246917153672435
11,1,alpha,0.15246917153672435
12,1,alpha,0.15246917153672435
13,1,alpha,0.15246917153672435
14,1,alpha,0.15246917153672435
15,1,alpha,0.15246917153672435
16,1,alpha,0.15246917153672435
17,1,alpha,0.15246917153672435
18,1,alpha,0.15246917153672435
19,1,alpha,0.15246917153672435
20,1,alpha,0.15246917153672435
21,1,alpha,0.15246917153672435
22,1,alpha,0.15246917153672435
23,1,alpha,0.15246917153672435
24,1,alpha,0.15246917153672435
25,1,alpha,0.15246917153672435
26,1,alpha,0.15246917153672435
27,1,alpha,0.15246917153672435
28,1,alpha,0.15246917153672435
29,1,alpha,0.15246917153672435
30,1,alpha,0.15246917153672435
31,1,alpha,0.15246917153672435
32,1,alpha,0.15246917153672435
33,1,alpha,0.15246917153672435
34,1,alpha,0.15246917153672435
35,1,alpha,0.15246917153672435
36,1,alpha,0.15246917153672435
37,1,alpha,0.15246917153672435
38,1,alpha,0.15246917153672435
39,1,alpha,0.15246917153672435
40,1,alpha,0.15246917153672435
41,1,alpha,0.15246917153672435
42,1,alpha,0.15246917153672435
43,1,alpha,0.15246917153672435
44,1,alpha,0.15246917153672435
45,1,alpha,0.15246917153672435
46,1,alpha,0.15246917153672435
47,1,alpha,0.15246917153672435
48,1,alpha,0.15246917153672435
49,1,alpha,0.15246917153672435
50,1,alpha,0.15246917153672435
51,1,alpha,0.15246917153672435
52,1,alpha,0.15246917153672435
53,1,alpha,0.15246917153672435
54,1,alpha,0.15246917153672435
55,1,alpha,0.15246917153672435
56,1,alpha,0.15246917153672435
57,1,alpha,0.15246917153672435
58,1,alpha,0.15246917153672435
59,1,alpha,0.15246917153672435
60,1,alpha,0.15246917153672435
61,1,alpha,0.15246917153672435
62,1,alpha,0.15246917153672435
63,1,alpha,0.15246917153672435
64,1,alpha,0.15246917153672435
65,1,alpha,0.15246917153672435
66,1,alpha,0.15246917153672435
67,1,alpha,0.15246917153672435
68,1,alpha,0.15246917153672435
69,1,alpha,0.15246917153672435
70,1,alpha,0.15246917153672435
71,1,alpha,0.15246917153672435
72,1,alpha,0.15246917153672435
73,1,alpha,0.15246917153672435
74,1,alpha,0.15246917153672435
75,1,alpha,0.15246917153672435
76,1,alpha,0.15246917153672435
77,1,alpha,0.15246917153672435
78,1,alpha,0.15246917153672435
79,1,alpha,0.15246917153672435
80,1,alpha,0.15246917153672435
81,1,alpha,0.15246917153672435
82,1,alpha,0.15246917153672435
83,1,alpha,0.15246917153672435
84,1,alpha,0.15246917153672435
85,1,alpha,0.15246917153672435
86,1,alpha,0.15246917153672435
87,1,alpha,0.15246917153672435
88,1,alpha,0.15246917153672435
89,1,alpha,0.15246917153672435
90,1,alpha,0.15246917153672435
91,1,alpha,0.15246917153672435
92,1,alpha,0.15246917153672435
93,1,alpha,0.15246917153672435
94,1,alpha,0.15246917153672435
95,1,alpha,0.15246917153672435
96,1,alpha,0.15246917153672435
97,1,alpha,0.15246917153672435
98,1,alpha,0.15246917153672435
99,1,alpha,0.15246917153672435
100,1,alpha,0.15246917153672435
101,1,alpha,0.15246917153672435
102,1,alpha,0.15246917153672435
103,1,alpha,0.15246917153672435
104,1,alpha,0.15246917153672435
105,1,alpha,0.15246917153672435
106,1,alpha,0.15246917153672435
107,1,alpha,0.15246917153672435
108,1,alpha,0.15246917153672435
109,1,alpha,0.15246917153672435
110,1,alpha,0.15246917153672435
111,1,alpha,0.15246917153672435
112,1,alpha,0.15246917153672435
113,1,alpha,0.15246917153672435
114,1,alpha,0.15246917153672435
115,1,alpha,0.15246917153672435
116,1,alpha,0.15246917153672435
117,1,alpha,0.15246917153672435
118,1,alpha,0.15246917153672435
119,1,alpha,0.15246917153672435
120,1,alpha,0.15246917153672435
121,1,alpha,0.15246917153672435
122,1,alpha,0.15246917153672435
123,1,alpha,0.15246917153672435
124,1,alpha,0.15246917153672435
125,1,alpha,0.15246917153672435
126,1,alpha,0.15246917153672435
127,1,alpha,0.15246917153672435
128,1,alpha,0.15246917153672435
129,1,alpha,0.15246917153672435
130,1,alpha,0.15246917153672435
131,1,alpha,0.15246917153672435
132,1,alpha,0.15246917153672435
133,1,alpha,0.15246917153672435
134,1,alpha,0.15246917153672435
135,1,alpha,0.15246917153672435
136,1,alpha,0.15246917153672435
137,1,alpha,0.15246917153672435
138,1,alpha,0.15246917153672435
139,1,alpha,0.15246917153672435
140,1,alpha,0.15246917153672435
141,1,alpha,0.15246917153672435
142,1,alpha,0.15246917153672435
143,1,alpha,0.15246917153672435
144,1,alpha,0.15246917153672435
145,1,alpha,0.15246917153672435
146,1,alpha,0.15246917153672435
147,1,alpha,0.15246917153672435
148,1,alpha,0.15246917153672435
149,1,alpha,0.15246917153672435
150,1,alpha,0.15246917153672435
151,1,alpha,0.15246917153672435
152,1,alpha,0.15246917153672435
153,1,alpha,0.15246917153672435
154,1,alpha,0.15246917153672435
155,1,alpha,0.15246917153672435
156,1,alpha,0.15246917153672435
157,1,alpha,0.15246917153672435
158,1,alpha,0.15246917153672435
159,1,alpha,0.15246917153672435
160,1,alpha,0.15246917153672435
161,1,alpha,0.15246917153672435
162,1,alpha,0.15246917153672435
163,1,alpha,0.15246917153672435
164,1,alpha,0.15246917153672435
165,1,alpha,0.15246917153672435
166,1,alpha,0.15246917153672435
167,1,alpha,0.15246917153672435
168,1,alpha,0.15246917153672435
169,1,alpha,0.15246917153672435
170,1,alpha,0.15246917153672435
171,1,alpha,0.15246917153672435
172,1,alpha,0.15246917153672435
173,1,alpha,0.15246917153672435
174,1,alpha,0.15246917153672435
175,1,alpha,0.15246917153672435
176,1,alpha,0.15246917153672435
177,1,alpha,0.15246917153672435
178,1,alpha,0.15246917153672435
179,1,alpha,0.15246917153672435
180,1,alpha,0.15246917153672435
181,1,alpha,0.15246917153672435
182,1,alpha,0.15246917153672435
183,1,alpha,0.15246917153672435
184,1,alpha,0.15246917153672435
185,1,alpha,0.15246917153672435
186,1,alpha,0.15246917153672435
187,1,alpha,0.15246917153672435
188,1,alpha,0.17798792196067392
189,1,alpha,0.17798792196067392
190,1,alpha,0.17798792196067392
191,1,alpha,0.17798792196067392
192,1,alpha,0.17798792196067392
193,1,alpha,0.17798792196067392
194,1,alpha,0.17798792196067392
195,1,alpha,0.17798792196067392
196,1,alpha,0.17798792196067392
197,1,alpha,0.17798792196067392
198,1,alpha,0.17798792196067392
199,1,alpha,0.17798792196067392
200,1,alpha,0.17798792196067392
1,1,discount,0.0536176639932866
2,1,discount,0.0536176639932866
3,1,discount,0.0536176639932866
4,1,discount,0.0536176639932866
5,1,discount,0.0536176639932866
6,1,discount,0.06204352370377686
7,1,discount,0.6089845092045783
8,1,discount,0.6089845092045783
9,1,discount,0.6089845092045783
10,1,discount,0.6089845092045783
11,1,discount,0.6273789520749355
12,1,discount,0.4122300695052039
13,1,discount,0.4122300695052039
14,1,discount,0.4122300695052039
15,1,discount,0.4122300695052039
16,1,discount,0.4122300695052039
17,1,discount,0.23530723234800255
18,1,discount,0.6515967951251616
19,1,discount,0.5720568450557759
20,1,discount,0.5720568450557759
21,1,discount,0.5247670043717241
22,1,discount,0.5247670043717241
23,1,discount,0.34165509117185255
24,1,discount,0.27109942730288905
25,1,discount,0.27109942730288905
26,1,discount,0.27109942730288905
27,1,discount,0.7596983934458903
28,1,discount,0.7596983934458903
