Iteration,Chain,Parameter,value
1,1,score,-14.557219305138638
2,1,score,-14.557219305138666
3,1,score,-14.557219305138666
4,1,score,-14.557219305138666
5,1,score,-14.557219305138666
6,1,score,-14.557219305138666
7,1,score,-14.557219305138666
8,1,score,-14.557219305138666
9,1,score,-14.542041477273479
10,1,score,-14.551104554500263
11,1,score,-14.510355397301716
12,1,score,-14.53901085788852
13,1,score,-14.499939860588064
14,1,score,-14.47243637283865
15,1,score,-14.55721930507233
16,1,score,-14.55721658733794
17,1,score,-14.55721658733794
18,1,score,-14.557219305138666
19,1,score,-14.557219305138666
20,1,score,-14.557219305138666
21,1,score,-14.55721930510408
22,1,score,-14.541694791728897
23,1,score,-14.557219305120107
24,1,score,-14.430487311736872
25,1,score,-14.557219263791502
26,1,score,-14.557196825752136
27,1,score,-14.554341456977092
28,1,score,-14.557184805203995
29,1,score,-14.557219305138638
30,1,score,-14.557219305138638
31,1,score,-14.487961944328852
32,1,score,-14.557219305138638
33,1,score,-14.557219305138638
34,1,score,-14.557219305138638
35,1,score,-14.557219305138666
36,1,score,-14.549768650655075
37,1,score,-14.46899816341989
38,1,score,-14.557219305137245
39,1,score,-14.55533274074137
40,1,score,-14.51162201308231
41,1,score,-14.557219305138666
42,1,score,-14.557219305138638
43,1,score,-14.557219305138666
44,1,score,-14.557219305138666
45,1,score,-14.557193006695236
46,1,score,-14.557219305138638
47,1,score,-14.557219304152206
48,1,score,-14.557219305138666
49,1,score,-14.557219305138382
50,1,score,-14.557217774859865
51,1,score,-14.557219305138666
52,1,score,-14.557219305138695
53,1,score,-14.557219305138638
54,1,score,-14.557219305138666
55,1,score,-14.557219305138638
56,1,score,-14.557219305138638
57,1,score,-14.557219305138638
58,1,score,-14.557219305138638
59,1,score,-14.557219305138666
60,1,score,-14.557219305131504
61,1,score,-14.557219263714039
62,1,score,-14.557219288955515
63,1,score,-14.557219305138183
64,1,score,-14.557219305138638
65,1,score,-14.55721930492539
66,1,score,-14.557133766489958
67,1,score,-14.556989039737534
68,1,score,-14.557219305132527
69,1,score,-14.557219305138553
70,1,score,-14.557219305138638
71,1,score,-14.557177596296846
72,1,score,-14.31315641093893
73,1,score,-14.545631260004512
74,1,score,-14.55721800130241
75,1,score,-14.557219305126843
76,1,score,-14.557219305138581
77,1,score,-14.517533415814011
78,1,score,-14.31577087771839
79,1,score,-14.557170203760222
80,1,score,-14.557219305138666
81,1,score,-14.557219305138666
82,1,score,-14.557219305138666
83,1,score,-14.557219305138638
84,1,score,-14.557214205740372
85,1,score,-14.557213052896863
86,1,score,-14.557219305138666
87,1,score,-14.556268815424438
88,1,score,-14.55612308088049
89,1,score,-14.325915834552703
90,1,score,-14.3203148848906
91,1,score,-14.557070979117327
92,1,score,-14.557219305138638
93,1,score,-14.557219305138666
94,1,score,-14.557218837356636
95,1,score,-14.557219305138638
96,1,score,-14.557219263594313
97,1,score,-14.43066291555133
98,1,score,-14.422522524904657
99,1,score,-14.391100333850098
100,1,score,-14.365357184068507
101,1,score,-14.42145170352979
102,1,score,-14.557219305138666
103,1,score,-14.557219305138666
104,1,score,-14.557209445521927
105,1,score,-14.420161294926238
106,1,score,-14.24890160300189
107,1,score,-14.364447184493233
108,1,score,-14.471717013475974
109,1,score,-14.55721392353832
110,1,score,-14.557219305138666
111,1,score,-14.557219305138553
112,1,score,-14.557219305043823
113,1,score,-14.557219305138666
114,1,score,-14.557219305135057
115,1,score,-14.557219305138666
116,1,score,-14.415873110066151
117,1,score,-14.557197057635172
118,1,score,-14.557219305138666
119,1,score,-14.557219305138666
120,1,score,-14.557219305138666
121,1,score,-14.557219303750191
122,1,score,-14.557218700561808
123,1,score,-14.557209503040827
124,1,score,-14.474215397729427
125,1,score,-14.557219111728678
126,1,score,-14.557219305138638
127,1,score,-14.557219305138638
128,1,score,-14.557219305138638
129,1,score,-14.38445976507024
130,1,score,-14.30817636158094
131,1,score,-14.548675970580724
132,1,score,-14.557216254391768
133,1,score,-14.557219305138467
134,1,score,-14.411581369886456
135,1,score,-14.557219305138666
136,1,score,-14.557219305138666
137,1,score,-14.557219305138666
138,1,score,-14.55721925848372
139,1,score,-14.557219305138666
140,1,score,-14.557219305138666
141,1,score,-14.41461949335406
142,1,score,-14.557219305138666
143,1,score,-14.557219305138666
144,1,score,-14.557219305138638
145,1,score,-14.557219305138666
146,1,score,-14.557197751590458
147,1,score,-14.557219301395953
148,1,score,-14.532900298262867
149,1,score,-14.528550761880815
150,1,score,-14.557219305138638
151,1,score,-14.557219305138638
152,1,score,-14.557219305138638
153,1,score,-14.557219305138666
154,1,score,-14.557219305138638
155,1,score,-14.557219305138638
156,1,score,-14.557219305138638
157,1,score,-14.557219305138638
158,1,score,-14.55721930513807
159,1,score,-14.557219305138638
160,1,score,-14.557219305078384
161,1,score,-14.557219305138638
162,1,score,-14.557211886958562
163,1,score,-14.557219305137387
164,1,score,-14.557219305138638
165,1,score,-14.557219305138638
166,1,score,-14.557219305138638
167,1,score,-14.557219305138666
168,1,score,-14.557219305138666
169,1,score,-14.557218720174124
170,1,score,-14.557219305138638
171,1,score,-14.557219305138638
172,1,score,-14.557219305138638
173,1,score,-14.557219305138638
174,1,score,-14.55634412354619
