Iteration,Chain,Parameter,value
1,1,score,-32.6732910560289
2,1,score,-32.65275258584577
3,1,score,-32.66125452976485
4,1,score,-32.58803675951401
5,1,score,-32.47390974295449
6,1,score,-32.5637920066249
7,1,score,-32.66283438588549
8,1,score,-32.659410987452326
9,1,score,-32.66462598929374
10,1,score,-32.67522428172704
11,1,score,-32.674564076986094
12,1,score,-32.67411817186
13,1,score,-32.67274345240055
14,1,score,-32.67027600399446
15,1,score,-32.657828291525924
16,1,score,-32.23807193663257
17,1,score,-32.650200944893896
18,1,score,-32.6209728019086
19,1,score,-32.62688359336407
20,1,score,-32.463633635134116
21,1,score,-32.47459885484865
22,1,score,-32.494971322263666
23,1,score,-32.32466883079994
24,1,score,-32.666021170377334
25,1,score,-32.51053322718891
26,1,score,-32.59866548701457
27,1,score,-32.63008773627196
28,1,score,-32.60267140529663
29,1,score,-32.52000502431026
30,1,score,-32.51601221591151
31,1,score,-32.45359286887707
32,1,score,-32.604684889100966
33,1,score,-32.66881189941097
34,1,score,-32.65729044414037
35,1,score,-32.66488988032184
36,1,score,-32.6692183875473
37,1,score,-32.592198840174724
38,1,score,-32.607261149175265
39,1,score,-32.59364279361606
40,1,score,-32.59136593015761
41,1,score,-32.641984769547136
42,1,score,-32.62541709359212
43,1,score,-32.59904259493871
44,1,score,-32.59072295651338
45,1,score,-32.607196996120116
46,1,score,-32.56672010699637
47,1,score,-32.51446583919764
48,1,score,-32.2133803088471
49,1,score,-32.262956689605524
50,1,score,-32.410297507363175
51,1,score,-32.26351495227937
52,1,score,-32.247553905496154
53,1,score,-32.63845476714689
54,1,score,-32.637123617965266
55,1,score,-32.219130276423904
56,1,score,-32.219130276423904
57,1,score,-32.187005033571275
58,1,score,-32.37765903990721
59,1,score,-32.327449810836534
60,1,score,-32.529911136066936
61,1,score,-32.20592266977207
62,1,score,-32.655478465088
63,1,score,-32.66447814185178
64,1,score,-32.455530250513625
65,1,score,-32.5450228983076
66,1,score,-32.48418281703403
67,1,score,-32.354938855236135
68,1,score,-32.35116259064137
69,1,score,-32.44416341297455
70,1,score,-32.365214238706905
71,1,score,-32.55517831283108
72,1,score,-32.656715190224595
73,1,score,-32.581592659244315
74,1,score,-32.30499015517149
75,1,score,-32.52836614051149
76,1,score,-32.51600948267436
77,1,score,-32.60066361598894
78,1,score,-32.2488499309157
79,1,score,-32.534105145980696
80,1,score,-32.441527985298904
81,1,score,-32.58303215933656
82,1,score,-32.63739741459156
83,1,score,-32.63044598149818
84,1,score,-32.674897983356544
85,1,score,-32.673435387815395
86,1,score,-32.672992233245374
87,1,score,-32.67471500428695
88,1,score,-32.674039082337586
89,1,score,-32.67342447134888
90,1,score,-32.672763933743916
91,1,score,-32.67110608990466
92,1,score,-32.67467324045734
93,1,score,-32.675149033693
94,1,score,-32.673535804808154
95,1,score,-32.67389607775708
96,1,score,-32.65490926982196
97,1,score,-32.52613929800291
98,1,score,-32.366044020741306
99,1,score,-32.448471556660714
100,1,score,-32.66658422458054
101,1,score,-32.24592759355438
102,1,score,-32.19583310857079
103,1,score,-32.537083994399104
104,1,score,-32.21951030003661
105,1,score,-32.56256439012433
106,1,score,-32.65779156731891
107,1,score,-32.61385248175005
108,1,score,-32.615028492532566
109,1,score,-32.60661381463915
110,1,score,-32.55823242681434
111,1,score,-32.57167462414272
112,1,score,-32.57972644052187
113,1,score,-32.658316235808215
114,1,score,-32.460378327316164
115,1,score,-32.54935341860482
116,1,score,-32.56202625233801
117,1,score,-32.51767408831131
118,1,score,-32.6159123646835
119,1,score,-32.48526218817172
120,1,score,-32.354791003928234
121,1,score,-32.33345927890202
122,1,score,-32.403202256758824
123,1,score,-32.34888893576744
124,1,score,-32.34888893576744
125,1,score,-32.30770132825831
126,1,score,-32.63102100065185
127,1,score,-32.6458407714816
128,1,score,-32.537301641848074
129,1,score,-32.59442395251865
130,1,score,-32.638832444701464
131,1,score,-32.59202185604273
132,1,score,-32.346416000190104
133,1,score,-32.47329156691818
134,1,score,-32.483723602130425
135,1,score,-32.551436970238015
136,1,score,-32.58346169658001
137,1,score,-32.59981976563746
138,1,score,-32.535561406746645
139,1,score,-32.63813111763761
140,1,score,-32.66562287954201
141,1,score,-32.607264570367725
142,1,score,-32.58025482746295
143,1,score,-32.64285696893262
144,1,score,-32.53906811421974
145,1,score,-32.58453721521053
146,1,score,-32.60670446368302
147,1,score,-32.63104569770134
148,1,score,-32.53782516312744
149,1,score,-32.13701559154757
150,1,score,-32.13734022478332
151,1,score,-32.13021703350916
152,1,score,-32.34601016642155
153,1,score,-32.39340895001337
154,1,score,-32.50077654433598
155,1,score,-32.26312983205617
156,1,score,-32.46115683822645
157,1,score,-32.507731950787196
158,1,score,-32.509580541737016
159,1,score,-32.66760214421512
160,1,score,-32.6660073053201
161,1,score,-32.60002991222762
162,1,score,-32.293338579816044
163,1,score,-32.49563576266667
164,1,score,-32.39674328924665
165,1,score,-32.35988637714676
166,1,score,-32.23507680672319
167,1,score,-32.2938013336993
168,1,score,-32.44102311492353
169,1,score,-32.27876006788913
170,1,score,-32.23177618953853
171,1,score,-32.23177618953853
172,1,score,-32.29404397519446
173,1,score,-32.2555613047953
174,1,score,-32.33358526462286
175,1,score,-32.54553086206011
176,1,score,-32.65509553217003
177,1,score,-32.57858448950217
178,1,score,-32.64207670719429
179,1,score,-32.54996302864238
180,1,score,-32.603769316295164
181,1,score,-32.627453932381236
182,1,score,-32.593093217078774
183,1,score,-32.58034200533854
184,1,score,-32.499921058570024
185,1,score,-32.5597974699093
186,1,score,-32.468752460002264
187,1,score,-32.522412910641776
188,1,score,-32.509115785466896
189,1,score,-32.485385924573215
190,1,score,-32.654804836105775
191,1,score,-32.66805793797863
192,1,score,-32.58174186935661
193,1,score,-32.51538598868623
194,1,score,-32.48091904108729
195,1,score,-32.64199226864943
196,1,score,-32.66388867022149
197,1,score,-32.6287990510862
198,1,score,-32.662530788629724
199,1,score,-32.60638955182225
200,1,score,-32.54233857639026
1,1,alpha,1.2292525246281727
2,1,alpha,1.2292525246281727
3,1,alpha,1.2292525246281727
4,1,alpha,7.815894996209534
5,1,alpha,7.815894996209534
6,1,alpha,4.222889074526575
7,1,alpha,0.4560528389533136
8,1,alpha,0.4560528389533136
9,1,alpha,0.4560528389533136
10,1,alpha,0.4560528389533136
11,1,alpha,2.1059410135681533
12,1,alpha,2.9104043999686358
13,1,alpha,5.3952662659113
14,1,alpha,5.3952662659113
15,1,alpha,17.806233575550436
16,1,alpha,17.806233575550436
17,1,alpha,0.9090487661832913
18,1,alpha,1.9668827548317802
19,1,alpha,1.9668827548317802
20,1,alpha,8.941816729034397
21,1,alpha,8.941816729034397
22,1,alpha,8.941816729034397
23,1,alpha,18.342810439801895
24,1,alpha,0.4250288209529929
25,1,alpha,8.135187145517078
26,1,alpha,8.135187145517078
27,1,alpha,4.771217844336388
28,1,alpha,7.703619763148972
29,1,alpha,7.703619763148972
30,1,alpha,7.910152485674544
31,1,alpha,11.206390516184932
32,1,alpha,3.434282648748588
33,1,alpha,3.434282648748588
34,1,alpha,9.223092762930506
35,1,alpha,5.395989086441628
36,1,alpha,3.231496619448615
37,1,alpha,3.231496619448615
38,1,alpha,3.231496619448615
39,1,alpha,3.231496619448615
40,1,alpha,3.231496619448615
41,1,alpha,3.231496619448615
42,1,alpha,3.231496619448615
43,1,alpha,3.231496619448615
44,1,alpha,3.231496619448615
45,1,alpha,3.231496619448615
46,1,alpha,5.195774872814596
47,1,alpha,5.195774872814596
48,1,alpha,16.584156794886965
49,1,alpha,14.507753138060973
50,1,alpha,14.507753138060973
51,1,alpha,14.507753138060973
52,1,alpha,14.507753138060973
53,1,alpha,14.507753138060973
54,1,alpha,15.038598646481303
55,1,alpha,15.038598646481303
56,1,alpha,15.038598646481303
57,1,alpha,16.323582703776808
58,1,alpha,16.323582703776808
59,1,alpha,19.40277006112396
60,1,alpha,19.40277006112396
61,1,alpha,19.40277006112396
62,1,alpha,19.40277006112396
63,1,alpha,19.40277006112396
64,1,alpha,19.40277006112396
65,1,alpha,19.40277006112396
66,1,alpha,19.40277006112396
67,1,alpha,19.40277006112396
68,1,alpha,19.656436482334662
69,1,alpha,13.60771324466409
70,1,alpha,18.71618848614709
71,1,alpha,18.71618848614709
72,1,alpha,2.8009036362804185
73,1,alpha,14.50015266195464
74,1,alpha,14.50015266195464
75,1,alpha,5.3563821041487225
76,1,alpha,5.826537720896461
77,1,alpha,2.6737890313195
78,1,alpha,17.059465126899052
79,1,alpha,5.139227718140527
80,1,alpha,8.740494712696677
81,1,alpha,8.740494712696677
82,1,alpha,3.5545454130022547
83,1,alpha,3.5545454130022547
84,1,alpha,3.5545454130022547
85,1,alpha,9.792054966990555
86,1,alpha,11.68562023815609
87,1,alpha,4.333622427744901
88,1,alpha,7.214925757140982
89,1,alpha,9.83868360952644
90,1,alpha,12.661622474673688
91,1,alpha,19.756875528547482
92,1,alpha,4.511501861420961
93,1,alpha,2.486383565605359
94,1,alpha,9.363175461453647
95,1,alpha,7.825119884048033
96,1,alpha,7.825119884048033
97,1,alpha,7.825119884048033
98,1,alpha,17.01865288389039
99,1,alpha,17.01865288389039
100,1,alpha,17.01865288389039
101,1,alpha,17.01865288389039
102,1,alpha,19.398646078803242
103,1,alpha,4.974155623869092
104,1,alpha,18.259428756169562
105,1,alpha,18.259428756169562
106,1,alpha,2.7459217031239547
107,1,alpha,9.824575922808755
108,1,alpha,9.633641025495008
109,1,alpha,11.001788201611324
110,1,alpha,11.001788201611324
111,1,alpha,9.70643453768998
112,1,alpha,8.93532698773528
113,1,alpha,8.93532698773528
114,1,alpha,8.93532698773528
115,1,alpha,8.93532698773528
116,1,alpha,8.93532698773528
117,1,alpha,8.93532698773528
118,1,alpha,8.93532698773528
119,1,alpha,8.93532698773528
120,1,alpha,15.694186319624727
121,1,alpha,15.694186319624727
122,1,alpha,15.694186319624727
123,1,alpha,15.694186319624727
124,1,alpha,15.694186319624727
125,1,alpha,15.694186319624727
126,1,alpha,15.694186319624727
127,1,alpha,10.386846968483997
128,1,alpha,10.386846968483997
129,1,alpha,10.386846968483997
130,1,alpha,10.386846968483997
131,1,alpha,10.386846968483997
132,1,alpha,10.386846968483997
133,1,alpha,10.386846968483997
134,1,alpha,10.386846968483997
135,1,alpha,10.386846968483997
136,1,alpha,10.386846968483997
137,1,alpha,8.505882362439735
138,1,alpha,15.998696823819035
139,1,alpha,4.155189034295206
140,1,alpha,4.155189034295206
141,1,alpha,4.155189034295206
142,1,alpha,4.155189034295206
143,1,alpha,4.155189034295206
144,1,alpha,4.155189034295206
145,1,alpha,4.155189034295206
146,1,alpha,4.155189034295206
147,1,alpha,4.155189034295206
148,1,alpha,4.155189034295206
149,1,alpha,18.85954976453946
150,1,alpha,18.845287601260416
151,1,alpha,19.15944520680959
152,1,alpha,10.583770320011968
153,1,alpha,10.583770320011968
154,1,alpha,6.339262006968114
155,1,alpha,16.214710493641107
156,1,alpha,16.214710493641107
157,1,alpha,16.214710493641107
158,1,alpha,16.027486222986354
159,1,alpha,16.027486222986354
160,1,alpha,19.184194115131984
161,1,alpha,19.184194115131984
162,1,alpha,19.184194115131984
163,1,alpha,19.184194115131984
164,1,alpha,19.184194115131984
165,1,alpha,19.184194115131984
166,1,alpha,19.184194115131984
167,1,alpha,16.25497512230448
168,1,alpha,16.25497512230448
169,1,alpha,16.25497512230448
170,1,alpha,18.517003846085615
171,1,alpha,18.517003846085615
172,1,alpha,18.517003846085615
173,1,alpha,18.517003846085615
174,1,alpha,14.64790842133651
175,1,alpha,5.213261641432063
176,1,alpha,5.213261641432063
177,1,alpha,5.213261641432063
178,1,alpha,5.213261641432063
179,1,alpha,5.213261641432063
180,1,alpha,5.213261641432063
181,1,alpha,3.4750737780647656
182,1,alpha,6.003739470356706
183,1,alpha,6.953943336485255
184,1,alpha,6.953943336485255
185,1,alpha,6.953943336485255
186,1,alpha,12.74309369373471
187,1,alpha,12.74309369373471
188,1,alpha,13.901994338055772
189,1,alpha,15.994111796927575
190,1,alpha,15.994111796927575
191,1,alpha,5.827297240464229
192,1,alpha,5.827297240464229
193,1,alpha,10.125701330956165
194,1,alpha,12.426473561134458
195,1,alpha,12.426473561134458
196,1,alpha,4.287339028137986
197,1,alpha,17.431632512193897
198,1,alpha,4.7846779944760565
199,1,alpha,4.7846779944760565
200,1,alpha,9.365760039564641
1,1,discount,0.07128460575199402
2,1,discount,0.5880949601849172
3,1,discount,0.38284852030285355
4,1,discount,0.38284852030285355
5,1,discount,0.8084297332406909
6,1,discount,0.8084297332406909
7,1,discount,0.8084297332406909
8,1,discount,0.9934123790994487
9,1,discount,0.7042753854697441
10,1,discount,0.02054587742615399
11,1,discount,0.02054587742615399
12,1,discount,0.02054587742615399
13,1,discount,0.02054587742615399
14,1,discount,0.037177280909159505
15,1,discount,0.037177280909159505
16,1,discount,0.8311253281877617
17,1,discount,0.8311253281877617
18,1,discount,0.8311253281877617
19,1,discount,0.7551225983315331
20,1,discount,0.7551225983315331
21,1,discount,0.7202082779367105
22,1,discount,0.6546950436075312
23,1,discount,0.6546950436075312
24,1,discount,0.6546950436075312
25,1,discount,0.6546950436075312
26,1,discount,0.3277746866606137
27,1,discount,0.3277746866606137
28,1,discount,0.3277746866606137
29,1,discount,0.6506760137580274
30,1,discount,0.6506760137580274
31,1,discount,0.6506760137580274
32,1,discount,0.6506760137580274
33,1,discount,0.07259240139418233
34,1,discount,0.07259240139418233
35,1,discount,0.07259240139418233
36,1,discount,0.07259240139418233
37,1,discount,0.7866587351859031
38,1,discount,0.6636339939308415
39,1,discount,0.7750955816199201
40,1,discount,0.7933079963753609
41,1,discount,0.3530656402239414
42,1,discount,0.5070677585618202
43,1,discount,0.7314369861616297
44,1,discount,0.7984307572338598
45,1,discount,0.6641699933429273
46,1,discount,0.6641699933429273
47,1,discount,0.9312407137867402
48,1,discount,0.9312407137867402
49,1,discount,0.9312407137867402
50,1,discount,0.6147459827422455
51,1,discount,0.9300238217978027
52,1,discount,0.964932046819607
53,1,discount,0.09363219859491756
54,1,discount,0.09363219859491756
55,1,discount,0.9976395974304273
56,1,discount,0.9976395974304273
57,1,discount,0.9976395974304273
58,1,discount,0.6193180060277439
59,1,discount,0.6193180060277439
60,1,discount,0.27016297193646865
61,1,discount,0.8298746897314826
62,1,discount,0.038602815106703714
63,1,discount,0.021591459641749022
64,1,discount,0.40033125940922343
65,1,discount,0.24320611656641122
66,1,discount,0.35062042685536254
67,1,discount,0.5724532732089085
68,1,discount,0.5724532732089085
69,1,discount,0.5724532732089085
70,1,discount,0.5724532732089085
71,1,discount,0.23263656758619122
72,1,discount,0.23263656758619122
73,1,discount,0.23263656758619122
74,1,discount,0.8406454524375375
75,1,discount,0.8406454524375375
76,1,discount,0.8406454524375375
77,1,discount,0.8406454524375375
78,1,discount,0.8406454524375375
79,1,discount,0.8406454524375375
80,1,discount,0.8406454524375375
81,1,discount,0.3644270380764343
82,1,discount,0.3644270380764343
83,1,discount,0.42431597000564314
84,1,discount,0.00876228593127748
85,1,discount,0.00876228593127748
86,1,discount,0.00876228593127748
87,1,discount,0.00876228593127748
88,1,discount,0.00876228593127748
89,1,discount,0.00876228593127748
90,1,discount,0.00876228593127748
91,1,discount,0.00876228593127748
92,1,discount,0.00876228593127748
93,1,discount,0.00876228593127748
94,1,discount,0.00876228593127748
95,1,discount,0.00876228593127748
96,1,discount,0.09576454966260228
97,1,discount,0.6195316885475455
98,1,discount,0.6195316885475455
99,1,discount,0.4631075522799515
100,1,discount,0.020012907622725562
101,1,discount,0.8479774370804218
102,1,discount,0.8479774370804218
103,1,discount,0.8479774370804218
104,1,discount,0.8479774370804218
105,1,discount,0.22398576402883097
106,1,discount,0.22398576402883097
107,1,discount,0.22398576402883097
108,1,discount,0.22398576402883097
109,1,discount,0.22398576402883097
110,1,discount,0.36901289084375133
111,1,discount,0.36901289084375133
112,1,discount,0.36901289084375133
113,1,discount,0.07078014746444139
114,1,discount,0.7659118561289486
115,1,discount,0.47458700703986034
116,1,discount,0.4310286400308103
117,1,discount,0.5808535789708382
118,1,discount,0.23695985930596897
119,1,discount,0.6864517875079541
120,1,discount,0.6864517875079541
121,1,discount,0.7293700626402031
122,1,discount,0.5889859328852556
123,1,discount,0.6983217856828352
124,1,discount,0.6983217856828352
125,1,discount,0.7813213150487157
126,1,discount,0.10396620446538529
127,1,discount,0.10396620446538529
128,1,discount,0.45175369604647275
129,1,discount,0.2756267986434606
130,1,discount,0.12804917823434891
131,1,discount,0.28328290898089015
132,1,discount,0.991881787070807
133,1,discount,0.6381362703625486
134,1,discount,0.6083405150461774
135,1,discount,0.40920458549425454
136,1,discount,0.31036222929206736
137,1,discount,0.31036222929206736
138,1,discount,0.31036222929206736
139,1,discount,0.31036222929206736
140,1,discount,0.087166812733108
141,1,discount,0.534918609746073
142,1,discount,0.7149035401159622
143,1,discount,0.27318274193814474
144,1,discount,0.970366018433839
145,1,discount,0.6871460622137426
146,1,discount,0.5387807225812336
147,1,discount,0.36440592784523407
148,1,discount,0.9778066983696816
149,1,discount,0.9778066983696816
150,1,discount,0.9778066983696816
151,1,discount,0.9778066983696816
152,1,discount,0.9778066983696816
153,1,discount,0.8485098693807784
154,1,discount,0.8485098693807784
155,1,discount,0.8485098693807784
156,1,discount,0.4578720643978278
157,1,discount,0.3638517245581494
158,1,discount,0.3638517245581494
159,1,discount,0.01889134617336019
160,1,discount,0.01889134617336019
161,1,discount,0.14454071468048224
162,1,discount,0.6842285987167318
163,1,discount,0.33401423596663893
164,1,discount,0.5061609790068391
165,1,discount,0.5695570640200165
166,1,discount,0.7859855586172619
167,1,discount,0.7859855586172619
168,1,discount,0.49689650725853274
169,1,discount,0.8157138413462248
170,1,discount,0.8157138413462248
171,1,discount,0.8157138413462248
172,1,discount,0.7038106226853584
173,1,discount,0.7726816868682156
174,1,discount,0.7726816868682156
175,1,discount,0.7726816868682156
176,1,discount,0.14002186314240728
177,1,discount,0.598694227889927
178,1,discount,0.22590341676071768
179,1,discount,0.7498920510430442
180,1,discount,0.4585435201853212
181,1,discount,0.4585435201853212
182,1,discount,0.4585435201853212
183,1,discount,0.4585435201853212
184,1,discount,0.7891987893618992
185,1,discount,0.5463505391108905
186,1,discount,0.5463505391108905
187,1,discount,0.41421646589409034
188,1,discount,0.41421646589409034
189,1,discount,0.41421646589409034
190,1,discount,0.04815340259778789
191,1,discount,0.04815340259778789
192,1,discount,0.5281759110228688
193,1,discount,0.5281759110228688
194,1,discount,0.5281759110228688
195,1,discount,0.09854555132770182
196,1,discount,0.09854555132770182
197,1,discount,0.09854555132770182
198,1,discount,0.09854555132770182
199,1,discount,0.47832010221653176
200,1,discount,0.47832010221653176
