Iteration,Chain,Parameter,value
1,1,score,-33.062667671300694
2,1,score,-33.062667671300694
3,1,score,-33.062667671300694
4,1,score,-33.062667671300694
5,1,score,-33.062667671300694
6,1,score,-33.062667671300694
7,1,score,-33.062667671300694
8,1,score,-33.116448371158
9,1,score,-33.116448371158
10,1,score,-33.116448371158
11,1,score,-33.089770110482604
12,1,score,-33.121343764075874
13,1,score,-33.121343764075874
14,1,score,-33.121343764075874
15,1,score,-33.07147842056798
16,1,score,-33.07147842056798
17,1,score,-33.07985221100187
18,1,score,-33.07985221100187
19,1,score,-33.07985221100187
20,1,score,-33.07985221100187
21,1,score,-33.07985221100187
22,1,score,-33.05681122534448
23,1,score,-33.05681122534448
24,1,score,-33.05681122534448
25,1,score,-33.05681122534448
26,1,score,-33.05681122534448
27,1,score,-33.109511260725405
28,1,score,-33.054404028143814
29,1,score,-33.06376256575778
30,1,score,-33.06376256575778
31,1,score,-33.0811903945289
32,1,score,-33.0811903945289
33,1,score,-33.130674934696884
34,1,score,-33.061793999984104
35,1,score,-33.061793999984104
36,1,score,-33.068054292108854
37,1,score,-33.06571656191108
38,1,score,-33.06571656191108
39,1,score,-33.06571656191108
40,1,score,-33.06571656191108
41,1,score,-33.064933946651514
42,1,score,-33.064933946651514
43,1,score,-33.10038484336767
44,1,score,-33.077451653334286
45,1,score,-33.077451653334286
46,1,score,-33.077451653334286
47,1,score,-33.079807742374605
48,1,score,-33.079807742374605
49,1,score,-33.079807742374605
50,1,score,-33.04986958127673
51,1,score,-33.04986958127673
52,1,score,-33.04986958127673
53,1,score,-33.04986958127673
54,1,score,-33.0695060747751
55,1,score,-33.0695060747751
56,1,score,-33.084750951673925
57,1,score,-33.084750951673925
58,1,score,-33.084750951673925
59,1,score,-33.117633737100896
60,1,score,-33.117633737100896
61,1,score,-33.10455920064232
62,1,score,-33.10455920064232
63,1,score,-33.10187743031589
64,1,score,-33.10187743031589
65,1,score,-33.04782334180297
66,1,score,-33.08801742266857
67,1,score,-33.12400935776717
68,1,score,-33.12400935776717
69,1,score,-33.11039730248267
70,1,score,-33.069305283819745
71,1,score,-33.069305283819745
72,1,score,-33.069305283819745
73,1,score,-33.07150203974905
74,1,score,-33.07150203974905
75,1,score,-33.08449092443397
76,1,score,-33.10373810977871
77,1,score,-33.10373810977871
78,1,score,-33.10373810977871
79,1,score,-33.091596575967
80,1,score,-33.09906470447845
81,1,score,-33.09906470447845
82,1,score,-33.07656820900893
83,1,score,-33.07656820900893
84,1,score,-33.04600613826331
85,1,score,-33.05139733993667
86,1,score,-33.07629313151292
87,1,score,-33.051394894779065
88,1,score,-33.051394894779065
89,1,score,-33.1089258625197
90,1,score,-33.052780894125675
91,1,score,-33.052780894125675
92,1,score,-33.052780894125675
93,1,score,-33.052780894125675
94,1,score,-33.052780894125675
95,1,score,-33.057371435310465
96,1,score,-33.057371435310465
97,1,score,-33.04620441508383
98,1,score,-33.04620441508383
99,1,score,-33.04620441508383
100,1,score,-33.04765396995615
101,1,score,-33.04765396995615
102,1,score,-33.05879094863873
103,1,score,-33.09864174855213
104,1,score,-33.09864174855213
105,1,score,-33.047152388258574
106,1,score,-33.072638344636196
107,1,score,-33.072638344636196
108,1,score,-33.08802612638128
109,1,score,-33.08802612638128
110,1,score,-33.102696378520534
111,1,score,-33.102696378520534
112,1,score,-33.102696378520534
113,1,score,-33.102696378520534
114,1,score,-33.102696378520534
115,1,score,-33.0739786561423
116,1,score,-33.0600916428071
117,1,score,-33.07897638612777
118,1,score,-33.07897638612777
119,1,score,-33.065518748812266
120,1,score,-33.065518748812266
121,1,score,-33.065518748812266
122,1,score,-33.065518748812266
123,1,score,-33.065518748812266
124,1,score,-33.065518748812266
125,1,score,-33.06429907336704
126,1,score,-33.06429907336704
127,1,score,-33.06429907336704
128,1,score,-33.06429907336704
129,1,score,-33.06429907336704
130,1,score,-33.06429907336704
131,1,score,-33.05641853381131
132,1,score,-33.096357904708235
133,1,score,-33.046096645966045
134,1,score,-33.046096645966045
135,1,score,-33.113586894924964
136,1,score,-33.04549613127922
137,1,score,-33.062040661985385
138,1,score,-33.062040661985385
139,1,score,-33.062040661985385
140,1,score,-33.062040661985385
141,1,score,-33.062040661985385
142,1,score,-33.062040661985385
143,1,score,-33.062040661985385
144,1,score,-33.12131113445245
145,1,score,-33.12131113445245
146,1,score,-33.12550650333488
147,1,score,-33.061619629431746
148,1,score,-33.061619629431746
149,1,score,-33.061619629431746
150,1,score,-33.084289315969144
151,1,score,-33.0540625438645
152,1,score,-33.101060448997636
153,1,score,-33.101060448997636
154,1,score,-33.101060448997636
155,1,score,-33.101060448997636
156,1,score,-33.12655484574372
157,1,score,-33.10222664435686
158,1,score,-33.10222664435686
159,1,score,-33.06383644435989
160,1,score,-33.06191191537734
161,1,score,-33.06191191537734
162,1,score,-33.062392551319405
163,1,score,-33.13006013006576
164,1,score,-33.08108200173004
165,1,score,-33.08108200173004
166,1,score,-33.12196098572832
167,1,score,-33.06663989884141
168,1,score,-33.12464224208643
169,1,score,-33.063638864525515
170,1,score,-33.07895186577527
171,1,score,-33.07895186577527
172,1,score,-33.121114430011176
173,1,score,-33.10554343865807
174,1,score,-33.06234643483717
175,1,score,-33.06234643483717
176,1,score,-33.0825935199081
177,1,score,-33.06580711838756
178,1,score,-33.06580711838756
179,1,score,-33.0807710269088
180,1,score,-33.068315164074384
181,1,score,-33.068315164074384
182,1,score,-33.120550757740475
183,1,score,-33.10852280675641
184,1,score,-33.10852280675641
185,1,score,-33.08347475076594
186,1,score,-33.08347475076594
187,1,score,-33.08347475076594
188,1,score,-33.08347475076594
189,1,score,-33.08347475076594
190,1,score,-33.08347475076594
191,1,score,-33.11388684765781
192,1,score,-33.08799418447942
193,1,score,-33.08739149666184
194,1,score,-33.08739149666184
195,1,score,-33.06055335288576
196,1,score,-33.06650229767112
197,1,score,-33.06650229767112
198,1,score,-33.06650229767112
199,1,score,-33.055456400644914
200,1,score,-33.055456400644914
1,1,alpha,0.05119139861696098
2,1,alpha,0.05119139861696098
3,1,alpha,0.05119139861696098
4,1,alpha,0.05119139861696098
5,1,alpha,0.05119139861696098
6,1,alpha,0.05119139861696098
7,1,alpha,0.05119139861696098
8,1,alpha,0.05119139861696098
9,1,alpha,0.05119139861696098
10,1,alpha,0.05119139861696098
11,1,alpha,0.05119139861696098
12,1,alpha,0.05119139861696098
13,1,alpha,0.05119139861696098
14,1,alpha,0.05119139861696098
15,1,alpha,0.05119139861696098
16,1,alpha,0.05119139861696098
17,1,alpha,0.05119139861696098
18,1,alpha,0.05119139861696098
19,1,alpha,0.05119139861696098
20,1,alpha,0.05119139861696098
21,1,alpha,0.05119139861696098
22,1,alpha,0.05119139861696098
23,1,alpha,0.05119139861696098
24,1,alpha,0.05119139861696098
25,1,alpha,0.05119139861696098
26,1,alpha,0.05119139861696098
27,1,alpha,0.05119139861696098
28,1,alpha,0.05119139861696098
29,1,alpha,0.05119139861696098
30,1,alpha,0.05119139861696098
31,1,alpha,0.05119139861696098
32,1,alpha,0.05119139861696098
33,1,alpha,0.05119139861696098
34,1,alpha,0.05119139861696098
35,1,alpha,0.05119139861696098
36,1,alpha,0.05119139861696098
37,1,alpha,0.05119139861696098
38,1,alpha,0.05119139861696098
39,1,alpha,0.05119139861696098
40,1,alpha,0.05119139861696098
41,1,alpha,0.05119139861696098
42,1,alpha,0.05119139861696098
43,1,alpha,0.05119139861696098
44,1,alpha,0.05119139861696098
45,1,alpha,0.05119139861696098
46,1,alpha,0.05119139861696098
47,1,alpha,0.05119139861696098
48,1,alpha,0.05119139861696098
49,1,alpha,0.05119139861696098
50,1,alpha,0.05119139861696098
51,1,alpha,0.05119139861696098
52,1,alpha,0.05119139861696098
53,1,alpha,0.05119139861696098
54,1,alpha,0.05119139861696098
55,1,alpha,0.05119139861696098
56,1,alpha,0.05119139861696098
57,1,alpha,0.05119139861696098
58,1,alpha,0.05119139861696098
59,1,alpha,0.05119139861696098
60,1,alpha,0.05119139861696098
61,1,alpha,0.05119139861696098
62,1,alpha,0.05119139861696098
63,1,alpha,0.05119139861696098
64,1,alpha,0.05119139861696098
65,1,alpha,0.05119139861696098
66,1,alpha,0.05119139861696098
67,1,alpha,0.05119139861696098
68,1,alpha,0.05119139861696098
69,1,alpha,0.05119139861696098
70,1,alpha,0.05119139861696098
71,1,alpha,0.05119139861696098
72,1,alpha,0.05119139861696098
73,1,alpha,0.05119139861696098
74,1,alpha,0.05119139861696098
75,1,alpha,0.05119139861696098
76,1,alpha,0.05119139861696098
77,1,alpha,0.05119139861696098
78,1,alpha,0.05119139861696098
79,1,alpha,0.05119139861696098
80,1,alpha,0.05119139861696098
81,1,alpha,0.05119139861696098
82,1,alpha,0.05119139861696098
83,1,alpha,0.05119139861696098
84,1,alpha,0.05119139861696098
85,1,alpha,0.05119139861696098
86,1,alpha,0.05119139861696098
87,1,alpha,0.05119139861696098
88,1,alpha,0.05119139861696098
89,1,alpha,0.05119139861696098
90,1,alpha,0.05119139861696098
91,1,alpha,0.05119139861696098
92,1,alpha,0.05119139861696098
93,1,alpha,0.05119139861696098
94,1,alpha,0.05119139861696098
95,1,alpha,0.05119139861696098
96,1,alpha,0.05119139861696098
97,1,alpha,0.05119139861696098
98,1,alpha,0.05119139861696098
99,1,alpha,0.05119139861696098
100,1,alpha,0.05119139861696098
101,1,alpha,0.05119139861696098
102,1,alpha,0.05119139861696098
103,1,alpha,0.05119139861696098
104,1,alpha,0.05119139861696098
105,1,alpha,0.05119139861696098
106,1,alpha,0.05119139861696098
107,1,alpha,0.05119139861696098
108,1,alpha,0.05119139861696098
109,1,alpha,0.05119139861696098
110,1,alpha,0.05119139861696098
111,1,alpha,0.05119139861696098
112,1,alpha,0.05119139861696098
113,1,alpha,0.05119139861696098
114,1,alpha,0.05119139861696098
115,1,alpha,0.05119139861696098
116,1,alpha,0.05119139861696098
117,1,alpha,0.05119139861696098
118,1,alpha,0.05119139861696098
119,1,alpha,0.05119139861696098
120,1,alpha,0.05119139861696098
121,1,alpha,0.05119139861696098
122,1,alpha,0.05119139861696098
123,1,alpha,0.05119139861696098
124,1,alpha,0.05119139861696098
125,1,alpha,0.05119139861696098
126,1,alpha,0.05119139861696098
127,1,alpha,0.05119139861696098
128,1,alpha,0.05119139861696098
129,1,alpha,0.05119139861696098
130,1,alpha,0.05119139861696098
131,1,alpha,0.05119139861696098
132,1,alpha,0.05119139861696098
133,1,alpha,0.05119139861696098
134,1,alpha,0.05119139861696098
135,1,alpha,0.05119139861696098
136,1,alpha,0.05119139861696098
137,1,alpha,0.05119139861696098
138,1,alpha,0.05119139861696098
139,1,alpha,0.05119139861696098
140,1,alpha,0.05119139861696098
141,1,alpha,0.05119139861696098
142,1,alpha,0.05119139861696098
143,1,alpha,0.05119139861696098
144,1,alpha,0.05119139861696098
145,1,alpha,0.05119139861696098
146,1,alpha,0.05119139861696098
147,1,alpha,0.05119139861696098
148,1,alpha,0.05119139861696098
149,1,alpha,0.05119139861696098
150,1,alpha,0.05119139861696098
151,1,alpha,0.05119139861696098
152,1,alpha,0.05119139861696098
153,1,alpha,0.05119139861696098
154,1,alpha,0.05119139861696098
155,1,alpha,0.05119139861696098
156,1,alpha,0.05119139861696098
157,1,alpha,0.05119139861696098
158,1,alpha,0.05119139861696098
159,1,alpha,0.05119139861696098
160,1,alpha,0.05119139861696098
161,1,alpha,0.05119139861696098
162,1,alpha,0.05119139861696098
163,1,alpha,0.05119139861696098
164,1,alpha,0.05119139861696098
165,1,alpha,0.05119139861696098
166,1,alpha,0.05119139861696098
167,1,alpha,0.05119139861696098
168,1,alpha,0.05119139861696098
169,1,alpha,0.05119139861696098
170,1,alpha,0.05119139861696098
