Iteration,Chain,Parameter,value
1,1,score,-42.302547574112765
2,1,score,-42.6971375228878
3,1,score,-42.6971375228878
4,1,score,-42.3835496527476
5,1,score,-42.3835496527476
6,1,score,-42.401770909789654
7,1,score,-42.585725604910856
8,1,score,-42.29841786710484
9,1,score,-42.554521339565056
10,1,score,-42.554521339565056
11,1,score,-42.45417871197705
12,1,score,-42.308189233621334
13,1,score,-42.308189233621334
14,1,score,-42.308189233621334
15,1,score,-42.52940769753718
16,1,score,-42.3115634193481
17,1,score,-42.3115634193481
18,1,score,-42.43692010172438
19,1,score,-42.43692010172438
20,1,score,-42.43692010172438
21,1,score,-42.50990783262998
22,1,score,-42.31613545858925
23,1,score,-42.31613545858925
24,1,score,-42.494874864302076
25,1,score,-42.494874864302076
26,1,score,-42.662905910419205
27,1,score,-42.81476338006353
28,1,score,-42.44673964042434
29,1,score,-42.44673964042434
30,1,score,-42.32381281951385
31,1,score,-42.60804080221588
32,1,score,-42.4891595547411
33,1,score,-42.603376141954364
34,1,score,-42.603376141954364
35,1,score,-42.30199606442901
36,1,score,-42.55832650424909
37,1,score,-42.55832650424909
38,1,score,-42.33071486730081
39,1,score,-42.33866414523829
40,1,score,-42.65834005135796
41,1,score,-42.38889680954394
42,1,score,-42.49744479239936
43,1,score,-42.49744479239936
44,1,score,-42.49744479239936
45,1,score,-42.713139565378825
46,1,score,-42.713139565378825
47,1,score,-42.39649589024489
48,1,score,-42.39649589024489
49,1,score,-42.39649589024489
50,1,score,-42.39649589024489
51,1,score,-42.39649589024489
52,1,score,-42.39649589024489
53,1,score,-42.39649589024489
54,1,score,-42.39649589024489
55,1,score,-42.85481510312571
56,1,score,-42.632359516859665
57,1,score,-42.69688162987189
58,1,score,-42.69688162987189
59,1,score,-42.69688162987189
60,1,score,-42.69688162987189
61,1,score,-42.830060421455414
62,1,score,-42.511573735281274
63,1,score,-42.31203310071497
64,1,score,-42.33369731032937
65,1,score,-42.321604610239376
66,1,score,-42.44612841488032
67,1,score,-42.44612841488032
68,1,score,-42.51883113473511
69,1,score,-42.51883113473511
70,1,score,-42.51009252645423
71,1,score,-42.63642070059664
72,1,score,-42.44384323671492
73,1,score,-42.370973546341915
74,1,score,-42.370973546341915
75,1,score,-42.370973546341915
76,1,score,-42.323848464212745
77,1,score,-42.323848464212745
78,1,score,-42.30347535596462
79,1,score,-34.97256018513199
80,1,score,-34.97256018513199
81,1,score,-34.97256018513199
82,1,score,-34.97256018513199
83,1,score,-34.97256018513199
84,1,score,-34.95251112206508
85,1,score,-34.95251112206508
86,1,score,-34.87861476909324
87,1,score,-34.830766477893654
88,1,score,-34.830766477893654
89,1,score,-34.830766477893654
90,1,score,-34.830766477893654
91,1,score,-35.23415496198281
92,1,score,-35.23415496198281
93,1,score,-35.23415496198281
94,1,score,-35.23415496198281
95,1,score,-35.23415496198281
96,1,score,-35.23415496198281
97,1,score,-34.79124825671133
98,1,score,-35.53840302414091
99,1,score,-35.53840302414091
100,1,score,-34.79921164930919
101,1,score,-34.79921164930919
102,1,score,-34.79921164930919
103,1,score,-34.83042749433769
104,1,score,-34.83042749433769
105,1,score,-34.83042749433769
106,1,score,-34.83042749433769
107,1,score,-34.83042749433769
108,1,score,-34.83042749433769
109,1,score,-34.83042749433769
110,1,score,-34.81382577667158
111,1,score,-34.81382577667158
112,1,score,-34.81382577667158
113,1,score,-34.81382577667158
114,1,score,-35.31094298248338
115,1,score,-35.31094298248338
116,1,score,-35.31094298248338
117,1,score,-35.31094298248338
118,1,score,-35.31094298248338
119,1,score,-35.10621857780489
120,1,score,-34.87765509198895
121,1,score,-34.805945799342
122,1,score,-34.805945799342
123,1,score,-34.805945799342
124,1,score,-34.79287254753191
125,1,score,-34.85788252733934
126,1,score,-34.85191621835872
127,1,score,-34.80064498229055
128,1,score,-34.80064498229055
129,1,score,-35.070098995985774
130,1,score,-34.82630212568847
131,1,score,-35.547420008563485
132,1,score,-35.03457866756747
133,1,score,-35.03457866756747
134,1,score,-35.03457866756747
135,1,score,-35.18707422393405
136,1,score,-35.18707422393405
137,1,score,-35.242863643558714
138,1,score,-35.242863643558714
139,1,score,-35.403745179961504
140,1,score,-34.80015543253988
141,1,score,-34.80015543253988
142,1,score,-34.80015543253988
143,1,score,-34.79299199914218
144,1,score,-34.79299199914218
145,1,score,-34.80849166777333
146,1,score,-34.80849166777333
147,1,score,-34.79779602574209
148,1,score,-34.79779602574209
149,1,score,-34.79779602574209
150,1,score,-34.79779602574209
151,1,score,-34.79779602574209
152,1,score,-35.30147546329108
153,1,score,-35.30147546329108
154,1,score,-34.925553318102054
155,1,score,-34.84349596339077
156,1,score,-34.84349596339077
157,1,score,-34.84349596339077
158,1,score,-34.84349596339077
159,1,score,-35.206410457111886
160,1,score,-35.206410457111886
161,1,score,-35.206410457111886
162,1,score,-35.206410457111886
163,1,score,-35.206410457111886
164,1,score,-35.206410457111886
165,1,score,-32.943921713692276
166,1,score,-32.32654715990751
167,1,score,-32.32654715990751
168,1,score,-32.32654715990751
169,1,score,-32.32654715990751
170,1,score,-32.32654715990751
171,1,score,-32.647897045505616
172,1,score,-32.647897045505616
173,1,score,-32.647897045505616
174,1,score,-32.52818761861208
175,1,score,-33.112157784600925
176,1,score,-33.12817353011338
177,1,score,-32.46659083263423
178,1,score,-32.46659083263423
179,1,score,-32.5000541387157
180,1,score,-32.5000541387157
181,1,score,-32.5000541387157
182,1,score,-32.5000541387157
183,1,score,-32.5000541387157
184,1,score,-32.5000541387157
185,1,score,-33.14865905607267
186,1,score,-33.14865905607267
187,1,score,-32.57307374087297
188,1,score,-32.57307374087297
189,1,score,-32.542205839948835
190,1,score,-32.542205839948835
191,1,score,-32.89962949921891
192,1,score,-32.563107617172626
193,1,score,-32.55806651571049
194,1,score,-32.55806651571049
195,1,score,-32.46547494946694
196,1,score,-32.46547494946694
197,1,score,-33.130987069583604
198,1,score,-32.851229720612785
199,1,score,-32.851229720612785
200,1,score,-32.851229720612785
1,1,alpha,0.34701293875921024
2,1,alpha,0.34701293875921024
3,1,alpha,0.34701293875921024
4,1,alpha,0.34701293875921024
5,1,alpha,0.34701293875921024
6,1,alpha,0.34701293875921024
7,1,alpha,0.34701293875921024
8,1,alpha,0.34701293875921024
9,1,alpha,0.34701293875921024
10,1,alpha,0.34701293875921024
11,1,alpha,0.34701293875921024
12,1,alpha,0.34701293875921024
13,1,alpha,0.34701293875921024
14,1,alpha,0.34701293875921024
15,1,alpha,0.34701293875921024
16,1,alpha,0.34701293875921024
17,1,alpha,0.34701293875921024
18,1,alpha,0.34701293875921024
19,1,alpha,0.34701293875921024
20,1,alpha,0.34701293875921024
21,1,alpha,0.34701293875921024
22,1,alpha,0.34701293875921024
23,1,alpha,0.34701293875921024
24,1,alpha,0.34701293875921024
25,1,alpha,0.34701293875921024
26,1,alpha,0.34701293875921024
27,1,alpha,0.34701293875921024
28,1,alpha,0.34701293875921024
29,1,alpha,0.34701293875921024
30,1,alpha,0.34701293875921024
31,1,alpha,0.34701293875921024
32,1,alpha,0.34701293875921024
33,1,alpha,0.34701293875921024
34,1,alpha,0.34701293875921024
35,1,alpha,0.34701293875921024
36,1,alpha,0.34701293875921024
37,1,alpha,0.34701293875921024
38,1,alpha,0.34701293875921024
39,1,alpha,0.34701293875921024
40,1,alpha,0.34701293875921024
41,1,alpha,0.34701293875921024
42,1,alpha,0.34701293875921024
43,1,alpha,0.34701293875921024
44,1,alpha,0.34701293875921024
45,1,alpha,0.34701293875921024
46,1,alpha,0.34701293875921024
47,1,alpha,0.34701293875921024
48,1,alpha,0.34701293875921024
49,1,alpha,0.34701293875921024
50,1,alpha,0.34701293875921024
51,1,alpha,0.34701293875921024
52,1,alpha,0.34701293875921024
53,1,alpha,0.34701293875921024
54,1,alpha,0.34701293875921024
55,1,alpha,0.34701293875921024
56,1,alpha,0.34701293875921024
57,1,alpha,0.34701293875921024
58,1,alpha,0.34701293875921024
59,1,alpha,0.34701293875921024
60,1,alpha,0.34701293875921024
61,1,alpha,0.34701293875921024
62,1,alpha,0.34701293875921024
63,1,alpha,0.34701293875921024
64,1,alpha,0.34701293875921024
65,1,alpha,0.34701293875921024
66,1,alpha,0.34701293875921024
67,1,alpha,0.34701293875921024
68,1,alpha,0.34701293875921024
69,1,alpha,0.34701293875921024
70,1,alpha,0.34701293875921024
71,1,alpha,0.34701293875921024
72,1,alpha,0.34701293875921024
73,1,alpha,0.34701293875921024
74,1,alpha,0.34701293875921024
75,1,alpha,0.34701293875921024
76,1,alpha,0.34701293875921024
77,1,alpha,0.34701293875921024
78,1,alpha,0.34701293875921024
79,1,alpha,0.17595943022469474
80,1,alpha,0.17595943022469474
81,1,alpha,0.17595943022469474
82,1,alpha,0.17595943022469474
83,1,alpha,0.17595943022469474
84,1,alpha,0.17595943022469474
85,1,alpha,0.17595943022469474
86,1,alpha,0.17595943022469474
87,1,alpha,0.17595943022469474
88,1,alpha,0.17595943022469474
89,1,alpha,0.17595943022469474
90,1,alpha,0.17595943022469474
91,1,alpha,0.17595943022469474
92,1,alpha,0.17595943022469474
93,1,alpha,0.17595943022469474
94,1,alpha,0.17595943022469474
95,1,alpha,0.17595943022469474
96,1,alpha,0.17595943022469474
97,1,alpha,0.17595943022469474
98,1,alpha,0.17595943022469474
99,1,alpha,0.17595943022469474
100,1,alpha,0.17595943022469474
101,1,alpha,0.17595943022469474
102,1,alpha,0.17595943022469474
103,1,alpha,0.17595943022469474
104,1,alpha,0.17595943022469474
105,1,alpha,0.17595943022469474
106,1,alpha,0.17595943022469474
107,1,alpha,0.17595943022469474
108,1,alpha,0.17595943022469474
109,1,alpha,0.17595943022469474
110,1,alpha,0.17595943022469474
111,1,alpha,0.17595943022469474
112,1,alpha,0.17595943022469474
113,1,alpha,0.17595943022469474
114,1,alpha,0.17595943022469474
115,1,alpha,0.17595943022469474
116,1,alpha,0.17595943022469474
117,1,alpha,0.17595943022469474
118,1,alpha,0.17595943022469474
119,1,alpha,0.17595943022469474
120,1,alpha,0.17595943022469474
121,1,alpha,0.17595943022469474
122,1,alpha,0.17595943022469474
123,1,alpha,0.17595943022469474
124,1,alpha,0.17595943022469474
125,1,alpha,0.17595943022469474
126,1,alpha,0.17595943022469474
127,1,alpha,0.17595943022469474
128,1,alpha,0.17595943022469474
129,1,alpha,0.17595943022469474
130,1,alpha,0.17595943022469474
131,1,alpha,0.17595943022469474
132,1,alpha,0.17595943022469474
133,1,alpha,0.17595943022469474
134,1,alpha,0.17595943022469474
135,1,alpha,0.17595943022469474
136,1,alpha,0.17595943022469474
137,1,alpha,0.17595943022469474
138,1,alpha,0.17595943022469474
139,1,alpha,0.17595943022469474
140,1,alpha,0.17595943022469474
141,1,alpha,0.17595943022469474
142,1,alpha,0.17595943022469474
143,1,alpha,0.17595943022469474
144,1,alpha,0.17595943022469474
145,1,alpha,0.17595943022469474
146,1,alpha,0.17595943022469474
147,1,alpha,0.17595943022469474
148,1,alpha,0.17595943022469474
149,1,alpha,0.17595943022469474
150,1,alpha,0.17595943022469474
151,1,alpha,0.17595943022469474
152,1,alpha,0.17595943022469474
153,1,alpha,0.17595943022469474
154,1,alpha,0.17595943022469474
155,1,alpha,0.17595943022469474
156,1,alpha,0.17595943022469474
157,1,alpha,0.17595943022469474
158,1,alpha,0.17595943022469474
159,1,alpha,0.17595943022469474
160,1,alpha,0.17595943022469474
161,1,alpha,0.17595943022469474
162,1,alpha,0.17595943022469474
163,1,alpha,0.17595943022469474
164,1,alpha,0.17595943022469474
165,1,alpha,0.07986277200531244
166,1,alpha,0.07986277200531244
167,1,alpha,0.07986277200531244
168,1,alpha,0.07986277200531244
169,1,alpha,0.07986277200531244
170,1,alpha,0.07986277200531244
171,1,alpha,0.07986277200531244
172,1,alpha,0.07986277200531244
173,1,alpha,0.07986277200531244
174,1,alpha,0.07986277200531244
175,1,alpha,0.07986277200531244
176,1,alpha,0.07986277200531244
177,1,alpha,0.07986277200531244
178,1,alpha,0.07986277200531244
179,1,alpha,0.07986277200531244
180,1,alpha,0.07986277200531244
181,1,alpha,0.07986277200531244
182,1,alpha,0.07986277200531244
183,1,alpha,0.07986277200531244
184,1,alpha,0.07986277200531244
185,1,alpha,0.07986277200531244
186,1,alpha,0.07986277200531244
187,1,alpha,0.07986277200531244
188,1,alpha,0.07986277200531244
189,1,alpha,0.07986277200531244
190,1,alpha,0.07986277200531244
191,1,alpha,0.07986277200531244
192,1,alpha,0.07986277200531244
193,1,alpha,0.07986277200531244
194,1,alpha,0.07986277200531244
195,1,alpha,0.07986277200531244
196,1,alpha,0.07986277200531244
197,1,alpha,0.07986277200531244
198,1,alpha,0.07986277200531244
199,1,alpha,0.07986277200531244
200,1,alpha,0.07986277200531244
1,1,discount,0.5009339022285166
2,1,discount,0.10105706453743579
3,1,discount,0.10105706453743579
4,1,discount,0.6634700768250448
5,1,discount,0.6634700768250448
6,1,discount,0.6871552065798701
7,1,discount,0.1481801483002323
8,1,discount,0.47256612849763835
9,1,discount,0.8540520093839545
10,1,discount,0.8540520093839545
11,1,discount,0.22146986288894266
12,1,discount,0.38962316123562823
13,1,discount,0.38962316123562823
14,1,discount,0.38962316123562823
15,1,discount,0.17638678009157682
16,1,discount,0.5339014770082258
17,1,discount,0.5339014770082258
18,1,discount,0.7291754935301653
19,1,discount,0.7291754935301653
20,1,discount,0.7291754935301653
21,1,discount,0.18711240646660876
22,1,discount,0.5465215741360105
23,1,discount,0.5465215741360105
24,1,discount,0.19579143451103076
25,1,discount,0.19579143451103076
26,1,discount,0.9674482672177731
27,1,discount,0.059554545237294754
28,1,discount,0.7403012344345459
29,1,discount,0.7403012344345459
30,1,discount,0.5648463931963339
31,1,discount,0.909091945081997
32,1,discount,0.7863853814729846
33,1,discount,0.14004273419301816
34,1,discount,0.14004273419301816
35,1,discount,0.4124951991469876
36,1,discount,0.1614391451060655
37,1,discount,0.1614391451060655
38,1,discount,0.5793353626770477
39,1,discount,0.32961472378493606
40,1,discount,0.9624621892555703
41,1,discount,0.27265123455178686
42,1,discount,0.1942803901015857
43,1,discount,0.1942803901015857
44,1,discount,0.1942803901015857
45,1,discount,0.0949939423124253
46,1,discount,0.0949939423124253
47,1,discount,0.6804637612309763
48,1,discount,0.6804637612309763
49,1,discount,0.6804637612309763
50,1,discount,0.6804637612309763
51,1,discount,0.6804637612309763
52,1,discount,0.6804637612309763
53,1,discount,0.6804637612309763
54,1,discount,0.6804637612309763
55,1,discount,0.04681050781184193
56,1,discount,0.934586258098276
57,1,discount,0.10115524606390625
58,1,discount,0.10115524606390625
59,1,discount,0.10115524606390625
60,1,discount,0.10115524606390625
61,1,discount,0.054615144901166035
62,1,discount,0.809862022754871
63,1,discount,0.37902585225358676
64,1,discount,0.33705599767881633
65,1,discount,0.5598590386704312
66,1,discount,0.22700294208500416
67,1,discount,0.22700294208500416
68,1,discount,0.8173829080908221
69,1,discount,0.8173829080908221
70,1,discount,0.8083229386918636
71,1,discount,0.9388941247425004
72,1,discount,0.7370417853258933
73,1,discount,0.6460166299866528
74,1,discount,0.6460166299866528
75,1,discount,0.6460166299866528
76,1,discount,0.35368401334036226
77,1,discount,0.35368401334036226
78,1,discount,0.40597363827884836
79,1,discount,0.40597363827884836
80,1,discount,0.40597363827884836
81,1,discount,0.40597363827884836
82,1,discount,0.40597363827884836
83,1,discount,0.40597363827884836
84,1,discount,0.4259840545886413
85,1,discount,0.4259840545886413
86,1,discount,0.5138502094800259
87,1,discount,0.5951309641562577
88,1,discount,0.5951309641562577
89,1,discount,0.5951309641562577
90,1,discount,0.5951309641562577
91,1,discount,0.2068491802792265
92,1,discount,0.2068491802792265
93,1,discount,0.2068491802792265
94,1,discount,0.2068491802792265
95,1,discount,0.2068491802792265
96,1,discount,0.2068491802792265
97,1,discount,0.765562261538907
98,1,discount,0.03644609117475017
99,1,discount,0.03644609117475017
100,1,discount,0.8512295322079582
101,1,discount,0.8512295322079582
102,1,discount,0.8512295322079582
103,1,discount,0.9576188567380226
104,1,discount,0.9576188567380226
105,1,discount,0.9576188567380226
106,1,discount,0.9576188567380226
107,1,discount,0.9576188567380226
108,1,discount,0.9576188567380226
109,1,discount,0.9576188567380226
110,1,discount,0.6365074813530014
111,1,discount,0.6365074813530014
112,1,discount,0.6365074813530014
113,1,discount,0.6365074813530014
114,1,discount,0.16001803918752855
115,1,discount,0.16001803918752855
116,1,discount,0.16001803918752855
117,1,discount,0.16001803918752855
118,1,discount,0.16001803918752855
119,1,discount,0.2939883176582827
120,1,discount,0.5152068009801107
121,1,discount,0.6615053739577559
122,1,discount,0.6615053739577559
123,1,discount,0.6615053739577559
124,1,discount,0.7323871589623034
125,1,discount,0.5451326912305992
126,1,discount,0.5550529105480102
127,1,discount,0.8585242325564919
128,1,discount,0.8585242325564919
129,1,discount,0.3214837478266741
130,1,discount,0.6049465589273197
131,1,discount,0.03190438581595689
132,1,discount,0.3502528040797632
133,1,discount,0.3502528040797632
134,1,discount,0.3502528040797632
135,1,discount,0.23737095676644282
136,1,discount,0.23737095676644282
137,1,discount,0.20136643435356394
138,1,discount,0.20136643435356394
139,1,discount,0.10727425965964921
140,1,discount,0.6848263438983453
141,1,discount,0.6848263438983453
142,1,discount,0.6848263438983453
143,1,discount,0.8069506946841662
144,1,discount,0.8069506946841662
145,1,discount,0.8915124193518906
146,1,discount,0.8915124193518906
147,1,discount,0.8433832941075201
148,1,discount,0.8433832941075201
149,1,discount,0.8433832941075201
150,1,discount,0.8433832941075201
151,1,discount,0.8433832941075201
152,1,discount,0.16561938882443084
153,1,discount,0.16561938882443084
154,1,discount,0.4550004569418833
155,1,discount,0.9891459075317521
156,1,discount,0.9891459075317521
157,1,discount,0.9891459075317521
158,1,discount,0.9891459075317521
159,1,discount,0.224647125325808
160,1,discount,0.224647125325808
161,1,discount,0.224647125325808
162,1,discount,0.224647125325808
163,1,discount,0.224647125325808
164,1,discount,0.224647125325808
165,1,discount,0.224647125325808
166,1,discount,0.9938490693732001
167,1,discount,0.9938490693732001
168,1,discount,0.9938490693732001
169,1,discount,0.9938490693732001
