Iteration,Chain,Parameter,value
1,1,score,-15.59405404469451
2,1,score,-15.59405404469451
3,1,score,-15.594054044694506
4,1,score,-15.59405404469452
5,1,score,-15.594054044694513
6,1,score,-15.59405404469452
7,1,score,-15.59405404469452
8,1,score,-15.594054044694527
9,1,score,-15.59405404469452
10,1,score,-15.594054044694513
11,1,score,-15.594054044694513
12,1,score,-15.59405404469452
13,1,score,-14.794580605785542
14,1,score,-14.794580605785542
15,1,score,-14.794580605785528
16,1,score,-14.794580605785535
17,1,score,-14.794580605785535
18,1,score,-14.794580605785557
19,1,score,-14.794580605785596
20,1,score,-14.794580605785546
21,1,score,-14.794580605785535
22,1,score,-14.794580605785535
23,1,score,-14.794580605785535
24,1,score,-14.79458060578556
25,1,score,-14.794580605785526
26,1,score,-15.123942926282743
27,1,score,-15.123942926282705
28,1,score,-15.123942926282709
29,1,score,-15.123942926282709
30,1,score,-15.123942926282716
31,1,score,-15.491819111053236
32,1,score,-15.491819111053236
33,1,score,-15.491819111053236
34,1,score,-15.491819111053278
35,1,score,-15.491819111053278
36,1,score,-15.491819111053278
37,1,score,-15.491819111053253
38,1,score,-15.491819111053253
39,1,score,-15.491819111053246
40,1,score,-15.491819111053236
41,1,score,-15.491819111053267
42,1,score,-15.49181911105325
43,1,score,-15.491819111053264
44,1,score,-15.491819111053236
45,1,score,-15.491819111053236
46,1,score,-15.491819111053236
47,1,score,-15.491819111053236
48,1,score,-15.491819111053278
49,1,score,-15.491819111053278
50,1,score,-15.491819111053278
51,1,score,-15.491819111053278
52,1,score,-15.491819111053278
53,1,score,-15.491819111053275
54,1,score,-15.491819111053253
55,1,score,-15.491819111053236
56,1,score,-15.491819111053236
57,1,score,-15.491819111053236
58,1,score,-15.491819111053236
59,1,score,-15.491819111053236
60,1,score,-15.491819111053236
61,1,score,-15.491819111053278
62,1,score,-15.491819111053278
63,1,score,-15.491819111053278
64,1,score,-15.491819111053267
65,1,score,-15.491819111053264
66,1,score,-15.491819111053278
67,1,score,-15.491819111053275
68,1,score,-15.491819111053275
69,1,score,-15.491819111053271
70,1,score,-15.491819111053271
71,1,score,-15.491819111053232
72,1,score,-16.057942584769037
73,1,score,-16.05794258476903
74,1,score,-16.05794258476903
75,1,score,-16.05794258476905
76,1,score,-16.332962413683138
77,1,score,-16.332962413683216
78,1,score,-16.332962413683152
79,1,score,-18.338085990956383
80,1,score,-18.338085990956383
81,1,score,-18.33808599095638
82,1,score,-18.33808599095638
83,1,score,-18.33808599095638
84,1,score,-18.338085990956383
85,1,score,-18.338085990956383
86,1,score,-18.338085990956394
87,1,score,-18.338085990956394
88,1,score,-18.338085990956394
