Iteration,Chain,Parameter,value
1,1,score,-32.66101130275696
2,1,score,-32.66101130275696
3,1,score,-32.66101130275696
4,1,score,-32.661011302756926
5,1,score,-32.661011302756926
6,1,score,-32.661011302756926
7,1,score,-32.661011302756926
8,1,score,-32.66101130275696
9,1,score,-32.66101130275696
10,1,score,-32.66101130275696
11,1,score,-32.66101130275696
12,1,score,-32.66101130275696
13,1,score,-32.661011302756926
14,1,score,-32.661011302756926
15,1,score,-32.661011302756926
16,1,score,-32.66101130275696
17,1,score,-32.66101130275696
18,1,score,-32.66101130275696
19,1,score,-32.66101130275696
20,1,score,-32.66101130275696
21,1,score,-32.66101130275696
22,1,score,-32.66101130275696
23,1,score,-32.66101130275696
24,1,score,-32.66101130275696
25,1,score,-32.66101130275696
26,1,score,-32.66101130275696
27,1,score,-32.66101130275696
28,1,score,-32.66101130275696
29,1,score,-32.66101130275696
30,1,score,-32.661011302756926
31,1,score,-32.661011302756926
32,1,score,-32.661011302756926
33,1,score,-32.661011302756926
34,1,score,-32.661011302756926
35,1,score,-32.66101130275696
36,1,score,-32.66101130275696
37,1,score,-32.66101130275696
38,1,score,-32.66101130275696
39,1,score,-32.66101130275696
40,1,score,-32.66101130275696
41,1,score,-32.66101130275696
42,1,score,-32.66101130275696
43,1,score,-32.66101130275696
44,1,score,-32.66101130275696
45,1,score,-32.66101130275696
46,1,score,-32.66101130275696
47,1,score,-32.66101130275696
48,1,score,-32.66101130275696
49,1,score,-32.66101130275696
50,1,score,-32.66101130275696
51,1,score,-32.66101130275696
52,1,score,-32.66101130275696
53,1,score,-32.66101130275696
54,1,score,-32.66101130275696
55,1,score,-32.66101130275696
56,1,score,-32.66101130275696
57,1,score,-32.66101130275696
58,1,score,-32.66101130275696
59,1,score,-32.66101130275696
60,1,score,-32.66101130275696
61,1,score,-32.66101130275696
62,1,score,-32.66101130275696
63,1,score,-32.66101130275696
64,1,score,-32.66101130275696
65,1,score,-32.66101130275696
66,1,score,-32.66101130275696
67,1,score,-32.66101130275696
68,1,score,-32.661011302756926
69,1,score,-32.661011302756926
70,1,score,-32.661011302756926
71,1,score,-32.661011302756926
72,1,score,-32.661011302756926
73,1,score,-32.661011302756926
74,1,score,-32.66101130275696
75,1,score,-32.66101130275696
76,1,score,-32.66101130275696
77,1,score,-32.66101130275696
78,1,score,-32.66101130275696
79,1,score,-32.661011302756926
80,1,score,-32.661011302756926
81,1,score,-32.661011302756926
82,1,score,-32.661011302756926
83,1,score,-32.66101130275696
84,1,score,-32.66101130275696
85,1,score,-32.66101130275696
86,1,score,-32.66101130275696
87,1,score,-32.661011302756926
88,1,score,-32.661011302756926
89,1,score,-32.66101130275696
90,1,score,-32.66101130275696
91,1,score,-32.66101130275696
92,1,score,-32.66101130275696
93,1,score,-32.66101130275696
94,1,score,-32.66101130275696
95,1,score,-32.66101130275696
96,1,score,-32.66101130275696
97,1,score,-32.66101130275696
98,1,score,-32.66101130275696
99,1,score,-32.66101130275696
100,1,score,-32.66101130275696
101,1,score,-32.661011302756926
102,1,score,-32.66101130275696
103,1,score,-32.66101130275696
104,1,score,-32.66101130275696
105,1,score,-32.66101130275696
106,1,score,-32.66101130275696
107,1,score,-32.661011302756926
108,1,score,-32.66101130275696
109,1,score,-32.66101130275696
110,1,score,-32.66101130275696
111,1,score,-32.661011302756926
112,1,score,-32.66101130275696
113,1,score,-32.66101130275696
114,1,score,-32.661011302756926
115,1,score,-32.661011302756926
116,1,score,-32.661011302756926
117,1,score,-32.661011302756926
118,1,score,-32.66101130275696
119,1,score,-32.66101130275696
120,1,score,-32.661011302756926
121,1,score,-32.661011302756926
122,1,score,-32.661011302756926
123,1,score,-32.66101130275696
124,1,score,-32.66101130275696
125,1,score,-32.66101130275696
126,1,score,-32.66101130275696
