Iteration,Chain,Parameter,value
1,1,score,-36.58035983368951
2,1,score,-36.58035983368951
3,1,score,-36.58035983368951
4,1,score,-36.58035983368951
5,1,score,-36.58035983368951
6,1,score,-36.58035983368951
7,1,score,-36.58035983368951
8,1,score,-34.81228857733941
9,1,score,-34.81228857733941
10,1,score,-34.81228857733941
11,1,score,-34.81228857733941
12,1,score,-34.81228857733941
13,1,score,-34.81228857733941
14,1,score,-34.81228857733941
15,1,score,-34.81228857733941
16,1,score,-34.81228857733941
17,1,score,-34.81228857733941
18,1,score,-34.81228857733941
19,1,score,-34.81228857733941
20,1,score,-34.81228857733941
21,1,score,-34.81228857733941
22,1,score,-34.81228857733941
23,1,score,-34.81228857733941
24,1,score,-34.81228857733941
25,1,score,-34.81228857733941
26,1,score,-34.81228857733941
27,1,score,-34.81228857733941
28,1,score,-34.81228857733941
29,1,score,-34.81228857733941
30,1,score,-34.81228857733941
31,1,score,-34.8122885773394
32,1,score,-34.8122885773394
33,1,score,-34.8122885773394
34,1,score,-34.81228857733941
35,1,score,-34.81228857733941
36,1,score,-34.81228857733941
37,1,score,-34.81228857733941
38,1,score,-34.81228857733941
39,1,score,-34.81228857733941
40,1,score,-34.81228857733941
41,1,score,-34.81228857733941
42,1,score,-34.81228857733941
43,1,score,-34.81228857733941
44,1,score,-34.81228857733941
45,1,score,-34.81228857733941
46,1,score,-34.8122885773394
47,1,score,-34.8122885773394
48,1,score,-34.81228857733941
49,1,score,-34.81228857733941
50,1,score,-34.81228857733941
51,1,score,-34.81228857733941
52,1,score,-34.81228857733941
53,1,score,-34.81228857733941
54,1,score,-34.81228857733941
55,1,score,-34.81228857733941
56,1,score,-34.81228857733941
57,1,score,-34.81228857733941
58,1,score,-34.81228857733941
59,1,score,-34.81228857733941
60,1,score,-34.81228857733941
61,1,score,-34.81228857733941
62,1,score,-34.81228857733941
63,1,score,-34.81228857733941
64,1,score,-34.81228857733941
65,1,score,-34.81228857733941
66,1,score,-34.81228857733941
67,1,score,-34.81228857733941
68,1,score,-34.81228857733941
69,1,score,-34.81228857733941
70,1,score,-34.81228857733941
71,1,score,-34.81228857733941
72,1,score,-34.17233068093765
73,1,score,-34.17233068093765
74,1,score,-34.17233068093765
75,1,score,-34.17233068093765
76,1,score,-34.17233068093765
77,1,score,-34.17233068093765
78,1,score,-34.17233068093765
79,1,score,-34.17233068093765
80,1,score,-34.17233068093765
81,1,score,-34.17233068093765
82,1,score,-34.17233068093765
83,1,score,-34.17233068093765
84,1,score,-34.17233068093765
85,1,score,-34.17233068093765
