Iteration,Chain,Parameter,value
1,1,score,-23.303843815272533
2,1,score,-23.303843815272533
3,1,score,-23.303843815272547
4,1,score,-23.303843815272536
5,1,score,-23.30384381527254
6,1,score,-23.303843815272543
7,1,score,-23.303843815272543
8,1,score,-23.303843815272536
9,1,score,-23.303843815272536
10,1,score,-23.303843815272543
11,1,score,-23.303843815272543
12,1,score,-23.303843815272547
13,1,score,-23.303843815272547
14,1,score,-23.30384381527254
15,1,score,-23.303843815272547
16,1,score,-23.303843815272547
17,1,score,-23.303843815272543
18,1,score,-23.303843815272543
19,1,score,-23.30384381527253
20,1,score,-23.303843815272536
21,1,score,-23.30384381527254
22,1,score,-23.30384381527254
23,1,score,-23.30384381527255
24,1,score,-23.30384381527255
25,1,score,-23.30384381527255
26,1,score,-23.303843815272547
27,1,score,-24.157955589069726
28,1,score,-24.157955589069726
29,1,score,-24.15795558906972
30,1,score,-24.157955589069708
31,1,score,-24.157955589069704
32,1,score,-24.15795558906972
33,1,score,-24.15795558906971
34,1,score,-24.15795558906971
35,1,score,-24.15795558906973
36,1,score,-24.157955589069708
37,1,score,-24.15795558906972
38,1,score,-24.15795558906972
39,1,score,-24.15795558906972
40,1,score,-23.513854067824877
41,1,score,-23.51385406782488
42,1,score,-23.51385406782488
43,1,score,-23.51385406782488
44,1,score,-23.513854067824873
45,1,score,-23.51385406782488
46,1,score,-23.51385406782488
47,1,score,-23.513854067824873
48,1,score,-23.513854067824873
49,1,score,-23.513854067824873
50,1,score,-23.513854067824877
51,1,score,-23.51385406782488
52,1,score,-23.51385406782488
53,1,score,-23.51385406782488
54,1,score,-23.51385406782488
55,1,score,-23.51385406782488
56,1,score,-23.51385406782488
57,1,score,-23.51385406782488
58,1,score,-23.51385406782488
59,1,score,-23.51385406782488
60,1,score,-23.513854067824877
61,1,score,-23.51385406782488
62,1,score,-23.513854067824877
63,1,score,-23.513854067824877
64,1,score,-23.51385406782488
65,1,score,-23.513854067824873
66,1,score,-23.513854067824873
67,1,score,-23.513854067824873
68,1,score,-23.513854067824877
69,1,score,-23.513854067824877
70,1,score,-23.513854067824873
71,1,score,-23.513854067824873
72,1,score,-23.51385406782488
73,1,score,-23.51385406782488
74,1,score,-23.513854067824877
75,1,score,-23.51385406782488
76,1,score,-23.51385406782488
77,1,score,-23.51385406782488
78,1,score,-23.513854067824873
79,1,score,-23.51385406782488
80,1,score,-23.51385406782488
81,1,score,-23.51385406782488
82,1,score,-23.513854067824873
83,1,score,-23.513854067824884
84,1,score,-23.513854067824877
85,1,score,-23.513854067824877
86,1,score,-23.513854067824877
87,1,score,-23.513854067824873
88,1,score,-23.513854067824873
89,1,score,-23.513854067824873
90,1,score,-23.513854067824873
91,1,score,-23.29934279381671
92,1,score,-23.29934279381671
93,1,score,-23.29934279381671
94,1,score,-23.29934279381671
95,1,score,-23.29934279381671
