Iteration,Chain,Parameter,value
1,1,score,-31.839014817513032
2,1,score,-31.839014817513032
3,1,score,-31.83901481751305
4,1,score,-31.839014817513036
5,1,score,-31.839014817513036
6,1,score,-31.839014817513036
7,1,score,-31.839014817513036
8,1,score,-31.839014817513036
9,1,score,-31.839014817513036
10,1,score,-31.839014817513053
11,1,score,-31.839014817513036
12,1,score,-31.839014817513032
13,1,score,-31.839014817513032
14,1,score,-31.839014817513032
15,1,score,-31.839014817513032
16,1,score,-31.839014817513032
17,1,score,-31.839014817513032
18,1,score,-31.839014817513032
19,1,score,-31.839014817513032
20,1,score,-31.839014817513032
21,1,score,-31.839014817513036
22,1,score,-31.839014817513036
23,1,score,-31.839014817513046
24,1,score,-31.839014817513046
25,1,score,-31.839014817513046
26,1,score,-31.839014817513046
27,1,score,-31.839014817513046
28,1,score,-31.839014817513043
29,1,score,-31.839014817513043
30,1,score,-31.83901481751305
31,1,score,-31.83901481751305
32,1,score,-31.83901481751305
33,1,score,-31.83901481751304
34,1,score,-31.83901481751304
35,1,score,-31.83901481751304
36,1,score,-31.81424222274858
37,1,score,-31.81424222274858
38,1,score,-31.81424222274858
39,1,score,-31.81424222274858
40,1,score,-31.81424222274858
41,1,score,-31.81424222274858
42,1,score,-31.81424222274858
43,1,score,-31.81424222274858
44,1,score,-31.81424222274858
45,1,score,-31.81424222274858
46,1,score,-31.81424222274858
47,1,score,-31.81424222274858
48,1,score,-31.81424222274858
49,1,score,-31.81424222274858
50,1,score,-31.81424222274858
51,1,score,-31.81424222274858
52,1,score,-31.81424222274858
53,1,score,-31.814242222748575
54,1,score,-31.81424222274858
55,1,score,-31.814242222748575
56,1,score,-31.814242222748575
57,1,score,-31.814242222748575
58,1,score,-31.814242222748575
59,1,score,-31.814242222748575
60,1,score,-31.814242222748575
61,1,score,-31.814242222748575
62,1,score,-31.814242222748575
63,1,score,-31.81424222274858
64,1,score,-31.81424222274857
65,1,score,-31.814242222748575
66,1,score,-31.814242222748575
67,1,score,-31.81424222274857
68,1,score,-31.81424222274857
69,1,score,-31.81424222274857
70,1,score,-31.81424222274858
71,1,score,-31.81424222274857
72,1,score,-31.814242222748575
73,1,score,-31.814242222748568
74,1,score,-31.814242222748568
75,1,score,-31.81424222274858
76,1,score,-31.81424222274858
77,1,score,-31.81424222274858
78,1,score,-31.814242222748575
79,1,score,-31.81424222274857
80,1,score,-31.81424222274858
81,1,score,-31.81424222274858
82,1,score,-31.81424222274858
83,1,score,-31.81424222274858
84,1,score,-31.81424222274858
85,1,score,-31.81424222274858
86,1,score,-31.81424222274858
87,1,score,-31.81424222274858
88,1,score,-31.814242222748575
89,1,score,-31.81424222274858
90,1,score,-31.81424222274858
91,1,score,-31.81424222274858
92,1,score,-31.81424222274858
93,1,score,-31.81424222274858
94,1,score,-31.81424222274858
95,1,score,-31.81424222274858
96,1,score,-31.81424222274858
97,1,score,-31.81424222274858
98,1,score,-31.81424222274858
99,1,score,-31.814242222748568
100,1,score,-31.814242222748568
101,1,score,-31.814242222748568
102,1,score,-31.814242222748568
103,1,score,-31.814242222748568
104,1,score,-31.814242222748568
105,1,score,-31.81424222274858
106,1,score,-31.81424222274858
107,1,score,-31.81424222274858
108,1,score,-31.81424222274858
109,1,score,-31.81424222274858
110,1,score,-31.81424222274858
111,1,score,-31.81424222274858
112,1,score,-31.81424222274858
113,1,score,-31.81424222274857
114,1,score,-31.814242222748575
115,1,score,-31.814242222748575
116,1,score,-31.814242222748582
117,1,score,-31.814242222748582
118,1,score,-31.814242222748582
119,1,score,-31.814242222748582
120,1,score,-31.814242222748582
121,1,score,-31.81424222274858
122,1,score,-31.81424222274858
123,1,score,-31.81424222274858
124,1,score,-31.814242222748575
125,1,score,-31.814242222748575
126,1,score,-31.814242222748575
127,1,score,-31.81424222274858
128,1,score,-31.81424222274858
129,1,score,-31.81424222274858
130,1,score,-31.81424222274858
131,1,score,-31.81424222274858
132,1,score,-31.81424222274858
133,1,score,-31.81424222274858
