ldf_num,phase,condition,partnersExposure,trialnum,score,partnerVocab,targetObjectName,exposureRate,realLabel,method,typedLabel,adjLabel,clickedObject,responseCorrect,partnerSelection,timestamp,duration,testCorrect,trueClickPoints,trueLabelPoints,toBeDropped,appearance,usedEnglishLabels
1,game,80_50,perfect,23,50,"c(""gazzer"", ""dax"", ""wug"", ""toma"", ""manu"", ""kreeb"", ""blicket"", ""fep"", ""kiv"")",2005-600.jpg,4,wug,click,NA,,wug,1,2005-600.jpg,11:46:12,2874,0,50,80,0,Third,0
1,game,80_50,perfect,24,80,"c(""gazzer"", ""dax"", ""wug"", ""toma"", ""manu"", ""kreeb"", ""blicket"", ""fep"", ""kiv"")",2001-600.jpg,1,gazzer,label,gazzer,gazzer,NA,1,2001-600.jpg,11:46:23,4591,1,50,80,0,Third,0
1,game,80_50,perfect,25,50,"c(""gazzer"", ""dax"", ""wug"", ""toma"", ""manu"", ""kreeb"", ""blicket"", ""fep"", ""kiv"")",2025-600.jpg,2,toma,click,NA,,toma,1,2025-600.jpg,11:46:29,2701,0,50,80,0,Third,0
1,game,80_50,perfect,26,50,"c(""gazzer"", ""dax"", ""wug"", ""toma"", ""manu"", ""kreeb"", ""blicket"", ""fep"", ""kiv"")",2009-600.jpg,1,blicket,click,NA,,blicket,1,2009-600.jpg,11:46:36,2259,0,50,80,0,Third,0
1,game,80_50,perfect,27,80,"c(""gazzer"", ""dax"", ""wug"", ""toma"", ""manu"", ""kreeb"", ""blicket"", ""fep"", ""kiv"")",2002-600.jpg,4,dax,label,dax,dax,NA,1,2002-600.jpg,11:46:56,17031,1,50,80,0,Third,0
2,game,80_50,perfect,1,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2002-600.jpg,2,kiv,click,NA,,kiv,1,2002-600.jpg,14:30:02,36984,0,50,80,0,First,0
2,game,80_50,perfect,2,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2023-600.jpg,1,gazzer,click,NA,,gazzer,1,2023-600.jpg,14:30:11,3772,0,50,80,0,First,0
2,game,80_50,perfect,3,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2002-600.jpg,2,kiv,click,NA,,kiv,1,2002-600.jpg,14:30:20,3609,0,50,80,0,Second,0
2,game,80_50,perfect,4,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2023-600.jpg,1,gazzer,click,NA,,gazzer,1,2023-600.jpg,14:30:28,2693,0,50,80,0,Second,0
2,game,80_50,perfect,5,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2025-600.jpg,4,wug,click,NA,,wug,1,2025-600.jpg,14:30:35,3013,1,50,80,0,First,0
2,game,80_50,perfect,6,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2006-600.jpg,2,toma,click,NA,,toma,1,2006-600.jpg,14:30:46,6472,1,50,80,0,First,0
2,game,80_50,perfect,7,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2005-600.jpg,4,dax,click,NA,,dax,1,2005-600.jpg,14:30:54,3017,1,50,80,0,First,0
2,game,80_50,perfect,8,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2007-600.jpg,2,manu,click,NA,,manu,1,2007-600.jpg,14:31:01,2630,0,50,80,0,First,0
2,game,80_50,perfect,9,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2005-600.jpg,4,dax,click,NA,,dax,1,2005-600.jpg,14:31:08,3010,1,50,80,0,Second,0
2,game,80_50,perfect,10,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2006-600.jpg,2,toma,click,NA,,toma,1,2006-600.jpg,14:31:19,3194,1,50,80,0,Second,0
2,game,80_50,perfect,11,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2023-600.jpg,1,gazzer,click,NA,,gazzer,1,2023-600.jpg,14:31:26,2404,0,50,80,0,Third,0
2,game,80_50,perfect,12,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2007-600.jpg,2,manu,click,NA,,manu,1,2007-600.jpg,14:31:36,2195,0,50,80,0,Second,0
2,game,80_50,perfect,13,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2056-600.jpg,1,blicket,click,NA,,blicket,1,2056-600.jpg,14:31:41,2972,0,50,80,0,First,0
2,game,80_50,perfect,14,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2025-600.jpg,4,wug,click,NA,,wug,1,2025-600.jpg,14:31:47,2819,1,50,80,0,Second,0
2,game,80_50,perfect,15,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2005-600.jpg,4,dax,click,NA,,dax,1,2005-600.jpg,14:31:53,2816,1,50,80,0,Third,0
2,game,80_50,perfect,16,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2001-600.jpg,1,fep,click,NA,,fep,1,2001-600.jpg,14:32:01,4409,0,50,80,0,First,0
2,game,80_50,perfect,17,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2009-600.jpg,4,kreeb,click,NA,,kreeb,1,2009-600.jpg,14:32:08,2726,0,50,80,0,First,0
2,game,80_50,perfect,18,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2001-600.jpg,1,fep,click,NA,,fep,1,2001-600.jpg,14:32:17,5167,0,50,80,0,Second,0
2,game,80_50,perfect,19,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2056-600.jpg,1,blicket,click,NA,,blicket,1,2056-600.jpg,14:32:23,2323,0,50,80,0,Second,0
2,game,80_50,perfect,20,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2006-600.jpg,2,toma,click,NA,,toma,1,2006-600.jpg,14:32:31,4193,1,50,80,0,Third,0
2,game,80_50,perfect,21,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2009-600.jpg,4,kreeb,click,NA,,kreeb,1,2009-600.jpg,14:32:39,3964,0,50,80,0,Second,0
2,game,80_50,perfect,22,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2002-600.jpg,2,kiv,click,NA,,kiv,1,2002-600.jpg,14:32:45,2141,0,50,80,0,Third,0
2,game,80_50,perfect,23,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2009-600.jpg,4,kreeb,click,NA,,kreeb,1,2009-600.jpg,14:32:52,3603,0,50,80,0,Third,0
2,game,80_50,perfect,24,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2056-600.jpg,1,blicket,click,NA,,blicket,1,2056-600.jpg,14:32:58,2936,0,50,80,0,Third,0
2,game,80_50,perfect,25,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2025-600.jpg,4,wug,click,NA,,wug,1,2025-600.jpg,14:33:04,2399,1,50,80,0,Third,0
2,game,80_50,perfect,26,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2007-600.jpg,2,manu,click,NA,,manu,1,2007-600.jpg,14:33:08,2048,0,50,80,0,Third,0
2,game,80_50,perfect,27,50,"c(""kiv"", ""dax"", ""blicket"", ""toma"", ""wug"", ""gazzer"", ""fep"", ""manu"", ""kreeb"")",2001-600.jpg,1,fep,click,NA,,fep,1,2001-600.jpg,14:33:13,2145,0,50,80,0,Third,0
