"","X1","ldf_num","phase","condition","partnersExposure","trialnum","score","partnerVocab","targetObjectName","exposureRate","realLabel","method","typedLabel","adjLabel","clickedObject","responseCorrect","partnerSelection","timestamp","duration","testCorrect","trueClickPoints","trueLabelPoints","toBeDropped","appearance","manipFail","usedEnglishLabels"
"15",15,1,"game","100_30","None",15,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2006-600.jpg","4","kreeb","label","kreeb","kreeb",NA,1,"2006-600.jpg",16:06:45,5098,0,30,100,0,"Second",0,0
"16",16,1,"game","100_30","None",16,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2007-600.jpg","4","gazzer","label","gazzer","gazzer",NA,1,"2007-600.jpg",16:06:52,4210,1,30,100,0,"Second",0,0
"17",17,1,"game","100_30","None",17,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2025-600.jpg","2","fep","click",NA,NA,"fep",1,"2025-600.jpg",16:07:02,3464,0,30,100,0,"Second",0,0
"18",18,1,"game","100_30","None",18,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2023-600.jpg","2","toma","label","toma","toma",NA,1,"2023-600.jpg",16:07:12,5434,1,30,100,0,"Third",0,0
"19",19,1,"game","100_30","None",19,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2056-600.jpg","4","blicket","label","blicket","blicket",NA,1,"2056-600.jpg",16:07:22,5168,1,30,100,0,"Third",0,0
"20",20,1,"game","100_30","None",20,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2009-600.jpg","1","kiv","label_click","kiv","kiv","kiv",1,"2009-600.jpg",16:07:32,6993,1,30,100,0,"Second",0,0
"21",21,1,"game","100_30","None",21,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2006-600.jpg","4","kreeb","label","kreeb","kreeb",NA,1,"2006-600.jpg",16:07:44,6634,0,30,100,0,"Third",0,0
"22",22,1,"game","100_30","None",22,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2001-600.jpg","1","wug","label","wug","wug",NA,1,"2001-600.jpg",16:07:53,3872,1,30,100,0,"Third",0,0
"23",23,1,"game","100_30","None",23,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2025-600.jpg","2","fep","click",NA,NA,"fep",1,"2025-600.jpg",16:07:59,3064,0,30,100,0,"Third",0,0
"24",24,1,"game","100_30","None",24,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2005-600.jpg","2","dax","label_click","dax","dax","dax",1,"2005-600.jpg",16:08:11,9050,1,30,100,0,"Second",0,0
"25",25,1,"game","100_30","None",25,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2009-600.jpg","1","kiv","label","kiv","kiv",NA,1,"2009-600.jpg",16:08:20,4681,1,30,100,0,"Third",0,0
"26",26,1,"game","100_30","None",26,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2007-600.jpg","4","gazzer","label","gazzer","gazzer",NA,1,"2007-600.jpg",16:08:29,5176,1,30,100,0,"Third",0,0
"27",27,1,"game","100_30","None",27,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2005-600.jpg","2","dax","label","dax","dax",NA,1,"2005-600.jpg",16:08:38,4872,1,30,100,0,"Third",0,0
"28",28,2,"game","100_30","None",1,30,"character(0)","2009-600.jpg","4","kiv","click",NA,NA,"kiv",1,"2009-600.jpg",14:35:52,37197,0,30,100,0,"First",0,0
"29",29,2,"game","100_30","None",2,30,"character(0)","2007-600.jpg","1","dax","click",NA,NA,"dax",1,"2007-600.jpg",14:36:27,28787,1,30,100,0,"First",0,0
"30",30,2,"game","100_30","None",3,30,"character(0)","2025-600.jpg","2","wug","click",NA,NA,"wug",1,"2025-600.jpg",14:36:34,3928,1,30,100,0,"First",0,0
"31",31,2,"game","100_30","None",4,30,"character(0)","2001-600.jpg","2","fep","click",NA,NA,"fep",1,"2001-600.jpg",14:36:40,3581,1,30,100,0,"First",0,0
"32",32,2,"game","100_30","None",5,30,"character(0)","2002-600.jpg","4","toma","click",NA,NA,"toma",1,"2002-600.jpg",14:36:47,2941,1,30,100,0,"First",0,0
"33",33,2,"game","100_30","None",6,30,"character(0)","2023-600.jpg","1","gazzer","click",NA,NA,"gazzer",1,"2023-600.jpg",14:36:56,3164,1,30,100,0,"First",0,0
"34",34,2,"game","100_30","None",7,30,"c(""toma"", ""2002-600.jpg"")","2002-600.jpg","4","toma","label_click","toma","toma","toma",1,"2002-600.jpg",14:37:14,14427,1,30,100,0,"Second",0,0
"35",35,2,"game","100_30","None",8,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"")","2006-600.jpg","4","blicket","label_click","blicket","blicket","blicket",1,"2006-600.jpg",14:37:28,9414,1,30,100,0,"First",0,0
"36",36,2,"game","100_30","None",9,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"")","2005-600.jpg","1","kreeb","click",NA,NA,"kreeb",1,"2005-600.jpg",14:37:37,4692,0,30,100,0,"First",0,0
