ldf_num,condition,partnersExposureDescriptive,label,exposures,trueClickPoints,trueLabelPoints,pointCost,speechCost,testCorrect,known,estimated_p,appearance,method,score,partnersExposure,alpha,discount,action
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,First,label_click,30,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,Second,label,100,0,1.327403748677405,0.41629491539801167,teach
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,Third,label,100,0,1.327403748677405,0.41629491539801167,teach
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,First,label_click,30,0,1.327403748677405,0.41629491539801167,teach
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,Second,label_click,30,0,1.327403748677405,0.41629491539801167,speak
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,Third,label,100,0,1.327403748677405,0.41629491539801167,speak
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,First,click,30,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,Second,click,30,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,Third,click,30,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,First,label_click,30,0,1.327403748677405,0.41629491539801167,teach
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,Second,label,100,0,1.327403748677405,0.41629491539801167,teach
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,Third,label,100,0,1.327403748677405,0.41629491539801167,teach
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,First,label_click,30,0,1.327403748677405,0.41629491539801167,teach
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,Second,label_click,30,0,1.327403748677405,0.41629491539801167,speak
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,Third,label,100,0,1.327403748677405,0.41629491539801167,speak
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,First,label_click,30,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,Second,label,100,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,Third,label,100,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,First,click,30,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,Second,label_click,30,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,Third,label,100,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,First,label_click,30,0,1.327403748677405,0.41629491539801167,teach
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,Second,label,100,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,Third,label,100,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,First,label_click,30,0,1.327403748677405,0.41629491539801167,point
1,100_30,None,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,Second,label_click,30,0,1.327403748677405,0.41629491539801167,teach
1,100_30,None,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,Third,label,100,0,1.327403748677405,0.41629491539801167,speak
2,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.4877411367804511,First,label_click,30,0,1.327403748677405,0.41629491539801167,point
2,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.4877411367804511,Second,label,100,0,1.327403748677405,0.41629491539801167,point
2,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.4877411367804511,Third,label,100,0,1.327403748677405,0.41629491539801167,point
2,100_30,None,dax,1,30,100,70,0,1,TRUE,0.4877411367804511,First,click,30,0,1.327403748677405,0.41629491539801167,point
2,100_30,None,dax,1,30,100,70,0,1,TRUE,0.4877411367804511,Second,label_click,30,0,1.327403748677405,0.41629491539801167,teach
2,100_30,None,dax,1,30,100,70,0,1,TRUE,0.4877411367804511,Third,label,100,0,1.327403748677405,0.41629491539801167,teach
2,100_30,None,fep,2,30,100,70,0,1,TRUE,0.4877411367804511,First,click,30,0,1.327403748677405,0.41629491539801167,point
2,100_30,None,fep,2,30,100,70,0,1,TRUE,0.4877411367804511,Second,click,30,0,1.327403748677405,0.41629491539801167,point
2,100_30,None,fep,2,30,100,70,0,1,TRUE,0.4877411367804511,Third,label_click,30,0,1.327403748677405,0.41629491539801167,point
2,100_30,None,gazzer,1,30,100,70,0,1,TRUE,0.4877411367804511,First,click,30,0,1.327403748677405,0.41629491539801167,teach
2,100_30,None,gazzer,1,30,100,70,0,1,TRUE,0.4877411367804511,Second,click,30,0,1.327403748677405,0.41629491539801167,point
2,100_30,None,gazzer,1,30,100,70,0,1,TRUE,0.4877411367804511,Third,label_click,30,0,1.327403748677405,0.41629491539801167,point
2,100_30,None,kiv,4,30,100,70,0,0,FALSE,0.4877411367804511,First,click,30,0,1.327403748677405,0.41629491539801167,point
