Iteration,Chain,Parameter,value
1,1,score,-3.103683202998831
2,1,score,-2.996443542563022
3,1,score,-2.996443542562965
4,1,score,-2.996443542563022
5,1,score,-2.996443542563022
6,1,score,-2.996443542563022
7,1,score,-2.996443542563022
8,1,score,-2.999323358388701
9,1,score,-2.999323358388701
10,1,score,-2.999323358388701
11,1,score,-2.999323358388701
12,1,score,-3.080978837733419
13,1,score,-3.0493447492362766
14,1,score,-3.0493447492362766
15,1,score,-3.038299183432152
16,1,score,-3.038299183432152
17,1,score,-3.2229160093550395
18,1,score,-3.2229160093550218
19,1,score,-3.0096427746814673
20,1,score,-3.0096427746814673
21,1,score,-3.0019802371365434
22,1,score,-3.0573157919384824
23,1,score,-3.0573157919384824
24,1,score,-2.9968883345499227
25,1,score,-2.996888334550001
26,1,score,-3.0612283291670015
27,1,score,-3.0612283291670015
28,1,score,-3.0612283291670015
29,1,score,-3.0612283291670015
30,1,score,-3.3727141277003985
31,1,score,-3.3727141277003985
32,1,score,-3.37271412770037
33,1,score,-3.3727141277003985
34,1,score,-3.37271412770037
35,1,score,-3.3727141277003985
36,1,score,-3.37271412770037
37,1,score,-3.37271412770037
38,1,score,-3.3727141277003843
39,1,score,-3.3727141277003843
40,1,score,-3.777056522448959
41,1,score,-3.777056522448959
42,1,score,-3.7770565224489663
43,1,score,-2.9999052792421215
44,1,score,-3.0566892025560795
45,1,score,-3.0184129011893153
46,1,score,-3.0132218194788085
47,1,score,-3.0132218194788227
48,1,score,-3.008881383218871
49,1,score,-3.1956919800623003
50,1,score,-3.1956919800623287
51,1,score,-3.0069530926684895
52,1,score,-2.9965698394379463
53,1,score,-3.1139554765972908
54,1,score,-3.1139554765972908
55,1,score,-3.1139554765972908
56,1,score,-2.996608472186417
57,1,score,-3.0129699983120664
58,1,score,-2.998417347247291
59,1,score,-3.056369519712199
60,1,score,-3.056369519712199
61,1,score,-3.0098971479955954
62,1,score,-2.9969385594035107
63,1,score,-3.046933481230703
64,1,score,-3.046933481230703
65,1,score,-3.046933481230703
66,1,score,-3.001979874180741
67,1,score,-3.001979874180741
68,1,score,-3.001979874180741
69,1,score,-3.0041292592094995
70,1,score,-3.0041292592094853
71,1,score,-3.0041292592094995
72,1,score,-3.0041292592094995
73,1,score,-2.9964092537476934
74,1,score,-3.0645274861815968
75,1,score,-3.0645274861815968
76,1,score,-3.0645274861815825
77,1,score,-3.0645274861815825
78,1,score,-2.9978287282698735
79,1,score,-2.9978287282698735
80,1,score,-3.0538029968510974
81,1,score,-2.996542228907295
82,1,score,-3.0605160036461787
83,1,score,-3.0575506678577757
84,1,score,-3.0042743031583616
85,1,score,-3.0042743031583616
86,1,score,-3.0042743031583616
87,1,score,-3.0426013236304432
88,1,score,-3.0426013236304432
89,1,score,-3.0392167040679756
90,1,score,-3.0392167040679756
91,1,score,-3.0392167040679756
92,1,score,-3.112661721288966
93,1,score,-3.112661721288952
94,1,score,-3.112661721288952
95,1,score,-3.112661721288952
96,1,score,-3.112661721288952
97,1,score,-3.112661721288952
98,1,score,-3.0067625518193286
99,1,score,-3.0067625518193286
100,1,score,-3.0067625518193286
101,1,score,-3.0067625518193286
102,1,score,-3.006762551819334
103,1,score,-3.0799633099651715
104,1,score,-3.079963309965145
105,1,score,-3.079963309965145
106,1,score,-3.079963309965145
107,1,score,-3.079963309965145
108,1,score,-3.0298701000866477
109,1,score,-3.0298701000866477
110,1,score,-3.0298701000866477
111,1,score,-3.0298701000866584
112,1,score,-3.029870100086676
113,1,score,-3.029870100086676
114,1,score,-4.352352405766858
115,1,score,-4.352352405766872
116,1,score,-4.352352405766858
117,1,score,-3.097169420494659
118,1,score,-3.097169420494659
119,1,score,-3.624422564432273
120,1,score,-3.624422564432273
121,1,score,-3.62442256443228
122,1,score,-3.62442256443228
123,1,score,-3.624422564432273
124,1,score,-3.624422564432273
125,1,score,-3.1477130385463075
126,1,score,-2.9979632863148784
127,1,score,-3.009089181574048
128,1,score,-3.009089181574048
129,1,score,-3.0009527823216122
130,1,score,-3.0009527823216122
131,1,score,-3.0009527823216122
132,1,score,-3.0009527823216122
133,1,score,-3.0009527823216264
134,1,score,-3.0009527823216122
135,1,score,-3.0009527823216122
136,1,score,-3.0009527823216122
137,1,score,-3.0009527823216122
138,1,score,-3.0009527823216264
139,1,score,-3.0009527823216122
140,1,score,-3.0009527823216122
141,1,score,-3.0009527823216122
142,1,score,-3.0009527823216122
143,1,score,-2.9972777992942743
144,1,score,-2.9972777992942743
145,1,score,-2.9972777992942743
146,1,score,-2.9972777992942743
147,1,score,-2.9972777992942743
148,1,score,-3.040992302275534
149,1,score,-3.040992302275534
150,1,score,-3.0031665650807544
151,1,score,-3.0031665650807686
152,1,score,-3.0031665650807686
153,1,score,-3.0031665650807686
154,1,score,-3.0031665650807544
155,1,score,-3.0031665650807544
156,1,score,-3.3168378660739966
157,1,score,-2.997753155684855
158,1,score,-2.997753155684855
159,1,score,-2.997753155684855
160,1,score,-2.997753155684855
161,1,score,-2.997753155684855
162,1,score,-2.9977531556848978
163,1,score,-2.9967238307626833
164,1,score,-2.9967238307626833
165,1,score,-2.9967238307626833
166,1,score,-2.9967238307626833
167,1,score,-2.9967238307626833
168,1,score,-2.9982505643618045
169,1,score,-2.9982505643618045
170,1,score,-2.9982505643618045
171,1,score,-3.0415932553305045
172,1,score,-3.2784559766441608
173,1,score,-3.2784559766441608
174,1,score,-3.114646869164624
175,1,score,-3.356496750788772
176,1,score,-3.3564967507887506
177,1,score,-3.356496750788772
178,1,score,-2.996708139091233
179,1,score,-2.996708139091233
180,1,score,-2.9981130489018217
181,1,score,-2.9981883817862145
182,1,score,-2.9981883817862145
183,1,score,-2.996739034269304
184,1,score,-2.996739034269304
185,1,score,-2.996739034269304
186,1,score,-2.996739034269304
187,1,score,-3.0068735078701327
188,1,score,-3.0173469139692846
189,1,score,-3.1303923104082334
190,1,score,-2.997898460919125
191,1,score,-2.997898460919125
192,1,score,-3.117584919807577
193,1,score,-3.048012466307633
194,1,score,-2.9964552575067747
195,1,score,-2.9981556576299586
196,1,score,-2.9981556576299586
197,1,score,-2.9981556576299586
198,1,score,-2.9981556576299586
199,1,score,-2.9981556576299586
200,1,score,-3.275013648329342
1,1,alpha,9.185764978422819
2,1,alpha,19.84968240867233
3,1,alpha,19.84968240867233
4,1,alpha,19.84968240867233
5,1,alpha,19.84968240867233
6,1,alpha,19.84968240867233
7,1,alpha,19.84968240867233
8,1,alpha,16.404548882010275
9,1,alpha,16.404548882010275
10,1,alpha,16.404548882010275
11,1,alpha,16.404548882010275
12,1,alpha,9.682755256918526
13,1,alpha,10.662237706292945
14,1,alpha,10.662237706292945
15,1,alpha,11.150687665231342
16,1,alpha,11.150687665231342
17,1,alpha,7.632230017342714
18,1,alpha,7.632230017342714
19,1,alpha,13.524688957190737
20,1,alpha,13.524688957190737
21,1,alpha,15.226504917640566
22,1,alpha,10.36910356242721
23,1,alpha,10.36910356242721
24,1,alpha,18.816127356632517
25,1,alpha,18.816127356632517
26,1,alpha,10.238937388928449
27,1,alpha,10.238937388928449
28,1,alpha,10.238937388928449
29,1,alpha,10.238937388928449
30,1,alpha,6.59248195109194
31,1,alpha,6.59248195109194
32,1,alpha,6.59248195109194
33,1,alpha,6.59248195109194
34,1,alpha,6.59248195109194
35,1,alpha,6.59248195109194
36,1,alpha,6.59248195109194
37,1,alpha,6.59248195109194
38,1,alpha,6.59248195109194
39,1,alpha,6.59248195109194
40,1,alpha,5.138935621674032
41,1,alpha,5.138935621674032
42,1,alpha,5.138935621674032
43,1,alpha,16.085055767626955
44,1,alpha,10.390720993542821
45,1,alpha,12.486131359092454
46,1,alpha,13.038164750611001
47,1,alpha,13.038164750611001
48,1,alpha,13.644327769471015
49,1,alpha,7.896954666728213
50,1,alpha,7.896954666728213
51,1,alpha,13.981427482902546
52,1,alpha,19.50188050698427
53,1,alpha,8.994852533110148
54,1,alpha,8.994852533110148
55,1,alpha,8.994852533110148
56,1,alpha,19.405928361978813
57,1,alpha,13.068977219207696
58,1,alpha,17.023113193259306
59,1,alpha,10.401836497464743
60,1,alpha,10.401836497464743
61,1,alpha,13.486176072859944
62,1,alpha,18.725635965823212
63,1,alpha,10.759616566777419
64,1,alpha,10.759616566777419
65,1,alpha,10.759616566777419
66,1,alpha,15.226628477872929
67,1,alpha,15.226628477872929
68,1,alpha,15.226628477872929
69,1,alpha,14.597811390500045
70,1,alpha,14.597811390500045
71,1,alpha,14.597811390500045
72,1,alpha,14.597811390500045
73,1,alpha,19.954819209651543
74,1,alpha,10.135129659127076
75,1,alpha,10.135129659127076
76,1,alpha,10.135129659127076
77,1,alpha,10.135129659127076
78,1,alpha,17.54961873317109
79,1,alpha,17.54961873317109
80,1,alpha,10.49327535925153
81,1,alpha,19.573208830166465
82,1,alpha,10.26204198646922
83,1,alpha,10.361057356179138
84,1,alpha,14.561393746267237
85,1,alpha,14.561393746267237
86,1,alpha,14.561393746267237
87,1,alpha,10.946764851251597
88,1,alpha,10.946764851251597
89,1,alpha,11.105510645649055
90,1,alpha,11.105510645649055
91,1,alpha,11.105510645649055
92,1,alpha,9.017950247673191
93,1,alpha,9.017950247673191
94,1,alpha,9.017950247673191
95,1,alpha,9.017950247673191
96,1,alpha,9.017950247673191
97,1,alpha,9.017950247673191
98,1,alpha,14.017837747149592
99,1,alpha,14.017837747149592
100,1,alpha,14.017837747149592
101,1,alpha,14.017837747149592
102,1,alpha,14.017837747149592
103,1,alpha,9.708015101718125
104,1,alpha,9.708015101718125
105,1,alpha,9.708015101718125
106,1,alpha,9.708015101718125
107,1,alpha,9.708015101718125
108,1,alpha,11.618425581109651
109,1,alpha,11.618425581109651
110,1,alpha,11.618425581109651
111,1,alpha,11.618425581109651
112,1,alpha,11.618425581109651
113,1,alpha,11.618425581109651
114,1,alpha,4.085475779275796
115,1,alpha,4.085475779275796
116,1,alpha,4.085475779275796
117,1,alpha,9.31661937051302
118,1,alpha,9.31661937051302
119,1,alpha,5.565874306717897
120,1,alpha,5.565874306717897
121,1,alpha,5.565874306717897
122,1,alpha,5.565874306717897
123,1,alpha,5.565874306717897
124,1,alpha,5.565874306717897
125,1,alpha,8.468719125585288
126,1,alpha,17.417260662611657
127,1,alpha,13.61100127219244
128,1,alpha,13.61100127219244
129,1,alpha,15.60864710840062
130,1,alpha,15.60864710840062
131,1,alpha,15.60864710840062
132,1,alpha,15.60864710840062
133,1,alpha,15.60864710840062
134,1,alpha,15.60864710840062
135,1,alpha,15.60864710840062
136,1,alpha,15.60864710840062
137,1,alpha,15.60864710840062
138,1,alpha,15.60864710840062
139,1,alpha,15.60864710840062
140,1,alpha,15.60864710840062
141,1,alpha,15.60864710840062
142,1,alpha,15.60864710840062
143,1,alpha,18.19832866008307
144,1,alpha,18.19832866008307
145,1,alpha,18.19832866008307
146,1,alpha,18.19832866008307
147,1,alpha,18.19832866008307
148,1,alpha,11.020741888172441
149,1,alpha,11.020741888172441
150,1,alpha,14.85676486399532
151,1,alpha,14.85676486399532
152,1,alpha,14.85676486399532
153,1,alpha,14.85676486399532
154,1,alpha,14.85676486399532
155,1,alpha,14.85676486399532
156,1,alpha,6.919762826638851
157,1,alpha,17.627733794172286
158,1,alpha,17.627733794172286
159,1,alpha,17.627733794172286
160,1,alpha,17.627733794172286
161,1,alpha,17.627733794172286
162,1,alpha,17.627733794172286
163,1,alpha,19.142745674718327
164,1,alpha,19.142745674718327
165,1,alpha,19.142745674718327
166,1,alpha,19.142745674718327
167,1,alpha,19.142745674718327
168,1,alpha,17.1595511989503
169,1,alpha,17.1595511989503
170,1,alpha,17.1595511989503
171,1,alpha,10.992807339951828
172,1,alpha,7.180920692291259
173,1,alpha,7.180920692291259
174,1,alpha,8.98261389159301
175,1,alpha,6.681969572371411
176,1,alpha,6.681969572371411
177,1,alpha,6.681969572371411
178,1,alpha,19.176688937010148
179,1,alpha,19.176688937010148
180,1,alpha,17.279026183840138
181,1,alpha,17.21274659383742
182,1,alpha,17.21274659383742
183,1,alpha,19.110366934453072
184,1,alpha,19.110366934453072
185,1,alpha,19.110366934453072
186,1,alpha,19.110366934453072
187,1,alpha,13.996559415899847
188,1,alpha,12.588355310931028
189,1,alpha,8.721893257548885
190,1,alpha,17.479999107219378
191,1,alpha,17.479999107219378
192,1,alpha,8.93139943390496
193,1,alpha,10.715483548325025
194,1,alpha,19.81492040317694
195,1,alpha,17.241284710982143
196,1,alpha,17.241284710982143
197,1,alpha,17.241284710982143
198,1,alpha,17.241284710982143
199,1,alpha,17.241284710982143
200,1,alpha,7.2061151026600045
1,1,discount,0.9084727667129193
2,1,discount,0.9084727667129193
3,1,discount,0.10385733325798197
4,1,discount,0.6169975854905616
5,1,discount,0.6169975854905616
6,1,discount,0.3643670622892199
7,1,discount,0.7544394813464477
8,1,discount,0.7544394813464477
9,1,discount,0.34203960905933517
10,1,discount,0.68233228147998215
11,1,discount,0.6766481418279258
12,1,discount,0.6766481418279258
13,1,discount,0.6766481418279258
14,1,discount,0.6907055657084167
15,1,discount,0.6907055657084167
16,1,discount,0.6907055657084167
17,1,discount,0.6907055657084167
18,1,discount,0.029323468589538715
19,1,discount,0.029323468589538715
20,1,discount,0.029323468589538715
21,1,discount,0.029323468589538715
22,1,discount,0.029323468589538715
23,1,discount,0.007623850753589956
24,1,discount,0.007623850753589956
25,1,discount,0.6901857528664936
26,1,discount,0.6901857528664936
27,1,discount,0.6901857528664936
28,1,discount,0.1835237517997279
29,1,discount,0.1835237517997279
30,1,discount,0.1835237517997279
31,1,discount,0.30979609835861543
32,1,discount,0.7079481900628732
33,1,discount,0.09500880485973173
34,1,discount,0.5034399493911461
35,1,discount,0.15715782449140248
36,1,discount,0.7676237652910802
37,1,discount,0.9485697709651548
38,1,discount,0.0034474208596841915
39,1,discount,0.0034474208596841915
40,1,discount,0.0034474208596841915
41,1,discount,0.050318144971236434
42,1,discount,0.29095915061114597
43,1,discount,0.29095915061114597
44,1,discount,0.29095915061114597
45,1,discount,0.29095915061114597
46,1,discount,0.29095915061114597
47,1,discount,0.6158993125021439
48,1,discount,0.6158993125021439
49,1,discount,0.6158993125021439
50,1,discount,0.3212645918677406
51,1,discount,0.3212645918677406
52,1,discount,0.3212645918677406
53,1,discount,0.3212645918677406
54,1,discount,0.636906373645064
55,1,discount,0.8111974783310008
56,1,discount,0.8111974783310008
57,1,discount,0.8111974783310008
58,1,discount,0.8111974783310008
59,1,discount,0.8111974783310008
60,1,discount,0.7035434583441942
61,1,discount,0.7035434583441942
