Iteration,Chain,Parameter,value
1,1,score,-17.596844871639373
2,1,score,-17.596844871639373
3,1,score,-17.596844871639373
4,1,score,-17.596844871639373
5,1,score,-17.596844871639373
6,1,score,-17.596844871639373
7,1,score,-17.59684487163937
8,1,score,-17.59684487163937
9,1,score,-17.59684487163937
10,1,score,-17.59684487163937
11,1,score,-17.59684487163937
12,1,score,-17.596844871639366
13,1,score,-17.596844871639366
14,1,score,-17.596844871639373
15,1,score,-17.59684487163937
16,1,score,-17.59684487163937
17,1,score,-17.59684487163937
18,1,score,-17.59684487163937
19,1,score,-17.596844871639373
20,1,score,-17.59684487163937
21,1,score,-17.59684487163937
22,1,score,-17.59684487163937
23,1,score,-17.596844871639366
24,1,score,-17.596844871639366
25,1,score,-16.07913860295978
26,1,score,-16.07913860295978
27,1,score,-16.07913860295978
28,1,score,-16.07913860295978
29,1,score,-16.07913860295978
30,1,score,-16.079138602959784
31,1,score,-16.079138602959784
32,1,score,-16.079138602959784
33,1,score,-16.079138602959784
34,1,score,-16.079138602959784
35,1,score,-16.079138602959784
36,1,score,-16.079138602959784
37,1,score,-16.07913860295978
38,1,score,-16.07913860295978
39,1,score,-16.07913860295978
40,1,score,-16.07913860295978
41,1,score,-16.07913860295978
42,1,score,-16.07913860295978
43,1,score,-16.07913860295978
44,1,score,-16.07913860295978
45,1,score,-16.07913860295978
46,1,score,-16.07913860295978
47,1,score,-16.07913860295978
48,1,score,-16.079138602959784
49,1,score,-16.079138602959773
50,1,score,-16.079138602959773
51,1,score,-16.079138602959773
52,1,score,-16.079138602959777
53,1,score,-16.079138602959777
54,1,score,-16.079138602959777
55,1,score,-16.079138602959773
56,1,score,-16.079138602959773
57,1,score,-16.07913860295978
58,1,score,-16.07913860295978
59,1,score,-16.07913860295978
60,1,score,-16.079138602959784
61,1,score,-16.079138602959773
62,1,score,-16.079138602959773
63,1,score,-16.079138602959773
64,1,score,-16.079138602959773
65,1,score,-16.079138602959773
66,1,score,-16.079138602959773
67,1,score,-16.07913860295978
68,1,score,-16.07913860295978
69,1,score,-16.079138602959784
70,1,score,-16.079138602959784
71,1,score,-16.079138602959784
72,1,score,-16.079138602959784
73,1,score,-16.079138602959773
74,1,score,-16.079138602959773
75,1,score,-16.079138602959773
76,1,score,-16.079138602959773
77,1,score,-16.079138602959784
78,1,score,-16.079138602959773
79,1,score,-16.079138602959773
80,1,score,-16.079138602959773
81,1,score,-16.079138602959773
82,1,score,-16.07913860295978
83,1,score,-16.07913860295978
84,1,score,-16.07913860295978
85,1,score,-16.079138602959773
86,1,score,-16.07913860295978
87,1,score,-16.07913860295978
88,1,score,-16.079138602959784
89,1,score,-16.079138602959777
90,1,score,-16.079138602959784
91,1,score,-16.079138602959787
92,1,score,-16.079138602959787
93,1,score,-16.079138602959777
94,1,score,-16.079138602959777
95,1,score,-16.079138602959777
96,1,score,-16.079138602959777
97,1,score,-16.079138602959777
98,1,score,-16.079138602959777
99,1,score,-16.07913860295978
100,1,score,-16.07913860295978
101,1,score,-16.07913860295978
102,1,score,-16.07913860295978
103,1,score,-16.07913860295978
104,1,score,-16.079138602959773
105,1,score,-16.07913860295978
106,1,score,-16.07913860295978
107,1,score,-16.07913860295978
108,1,score,-16.07913860295978
109,1,score,-16.07913860295978
110,1,score,-16.079138602959773
111,1,score,-16.079138602959777
112,1,score,-16.079138602959777
113,1,score,-16.079138602959784
114,1,score,-16.07913860295978
115,1,score,-16.07913860295978
116,1,score,-16.07913860295978
117,1,score,-16.079138602959773
118,1,score,-16.079138602959773
119,1,score,-16.079138602959773
120,1,score,-16.07913860295978
121,1,score,-16.07913860295978
122,1,score,-16.07913860295978
123,1,score,-16.09354223264421
124,1,score,-16.09354223264421
125,1,score,-16.093542232644214
126,1,score,-16.093542232644214
127,1,score,-16.09354223264421
128,1,score,-16.09354223264421
129,1,score,-16.093542232644214
130,1,score,-16.093542232644214
131,1,score,-16.09354223264421
132,1,score,-16.09354223264421
133,1,score,-16.093542232644214
134,1,score,-16.09354223264421
135,1,score,-16.093542232644214
136,1,score,-16.093542232644214
137,1,score,-16.093542232644214
138,1,score,-16.093542232644214
139,1,score,-16.093542232644214
140,1,score,-16.093542232644214
141,1,score,-16.093542232644214
142,1,score,-21.38269766805015
143,1,score,-21.38269766805015
144,1,score,-21.38269766805015
145,1,score,-21.38269766805015
146,1,score,-21.38269766805015
147,1,score,-21.38269766805015
148,1,score,-21.38269766805015
149,1,score,-21.38269766805015
150,1,score,-21.38269766805015
151,1,score,-21.38269766805015
152,1,score,-21.38269766805015
153,1,score,-21.38269766805015
154,1,score,-21.38269766805015
155,1,score,-21.38269766805015
156,1,score,-21.38269766805015
157,1,score,-21.38269766805015
158,1,score,-21.38269766805015
159,1,score,-21.38269766805015
160,1,score,-21.38269766805015
161,1,score,-21.38269766805015
162,1,score,-21.38269766805015
163,1,score,-21.38269766805015
164,1,score,-21.38269766805015
165,1,score,-21.38269766805015
166,1,score,-21.38269766805015
167,1,score,-21.38269766805015
168,1,score,-21.38269766805015
169,1,score,-21.38269766805015
170,1,score,-21.38269766805015
171,1,score,-21.38269766805015
172,1,score,-21.38269766805015
173,1,score,-21.38269766805015
174,1,score,-21.38269766805015
175,1,score,-21.38269766805015
176,1,score,-21.38269766805015
177,1,score,-21.38269766805015
178,1,score,-21.38269766805015
179,1,score,-21.38269766805015
180,1,score,-21.38269766805015
181,1,score,-16.443232826143444
182,1,score,-16.443232826143444
183,1,score,-16.443232826143444
184,1,score,-18.140379582657925
185,1,score,-18.140379582657925
186,1,score,-18.140379582657918
187,1,score,-18.140379582657925
188,1,score,-18.140379582657907
189,1,score,-18.140379582657907
190,1,score,-18.140379582657907
191,1,score,-18.140379582657907
192,1,score,-18.140379582657907
193,1,score,-18.140379582657907
194,1,score,-18.140379582657907
195,1,score,-18.140379582657907
196,1,score,-18.140379582657907
197,1,score,-18.140379582657918
198,1,score,-18.140379582657925
199,1,score,-18.140379582657914
200,1,score,-18.140379582657925
1,1,alpha,0.8537692542599862
2,1,alpha,0.8537692542599862
3,1,alpha,0.8537692542599862
4,1,alpha,0.8537692542599862
5,1,alpha,0.8537692542599862
6,1,alpha,0.8537692542599862
7,1,alpha,0.8537692542599862
8,1,alpha,0.8537692542599862
9,1,alpha,0.8537692542599862
10,1,alpha,0.8537692542599862
11,1,alpha,0.8537692542599862
12,1,alpha,0.8537692542599862
13,1,alpha,0.8537692542599862
14,1,alpha,0.8537692542599862
15,1,alpha,0.8537692542599862
16,1,alpha,0.8537692542599862
17,1,alpha,0.8537692542599862
18,1,alpha,0.8537692542599862
19,1,alpha,0.8537692542599862
20,1,alpha,0.8537692542599862
21,1,alpha,0.8537692542599862
22,1,alpha,0.8537692542599862
23,1,alpha,0.8537692542599862
24,1,alpha,0.8537692542599862
25,1,alpha,0.5049296690866489
26,1,alpha,0.5049296690866489
27,1,alpha,0.5049296690866489
28,1,alpha,0.5049296690866489
29,1,alpha,0.5049296690866489
30,1,alpha,0.5049296690866489
31,1,alpha,0.5049296690866489
32,1,alpha,0.5049296690866489
33,1,alpha,0.5049296690866489
34,1,alpha,0.5049296690866489
35,1,alpha,0.5049296690866489
36,1,alpha,0.5049296690866489
37,1,alpha,0.5049296690866489
38,1,alpha,0.5049296690866489
39,1,alpha,0.5049296690866489
40,1,alpha,0.5049296690866489
41,1,alpha,0.5049296690866489
42,1,alpha,0.5049296690866489
43,1,alpha,0.5049296690866489
44,1,alpha,0.5049296690866489
45,1,alpha,0.5049296690866489
46,1,alpha,0.5049296690866489
47,1,alpha,0.5049296690866489
48,1,alpha,0.5049296690866489
49,1,alpha,0.5049296690866489
50,1,alpha,0.5049296690866489
51,1,alpha,0.5049296690866489
52,1,alpha,0.5049296690866489
53,1,alpha,0.5049296690866489
54,1,alpha,0.5049296690866489
55,1,alpha,0.5049296690866489
56,1,alpha,0.5049296690866489
57,1,alpha,0.5049296690866489
58,1,alpha,0.5049296690866489
59,1,alpha,0.5049296690866489
60,1,alpha,0.5049296690866489
61,1,alpha,0.5049296690866489
62,1,alpha,0.5049296690866489
63,1,alpha,0.5049296690866489
64,1,alpha,0.5049296690866489
65,1,alpha,0.5049296690866489
66,1,alpha,0.5049296690866489
67,1,alpha,0.5049296690866489
68,1,alpha,0.5049296690866489
69,1,alpha,0.5049296690866489
70,1,alpha,0.5049296690866489
71,1,alpha,0.5049296690866489
72,1,alpha,0.5049296690866489
73,1,alpha,0.5049296690866489
74,1,alpha,0.5049296690866489
75,1,alpha,0.5049296690866489
76,1,alpha,0.5049296690866489
77,1,alpha,0.5049296690866489
78,1,alpha,0.5049296690866489
79,1,alpha,0.5049296690866489
80,1,alpha,0.5049296690866489
81,1,alpha,0.5049296690866489
82,1,alpha,0.5049296690866489
83,1,alpha,0.5049296690866489
84,1,alpha,0.5049296690866489
85,1,alpha,0.5049296690866489
86,1,alpha,0.5049296690866489
87,1,alpha,0.5049296690866489
88,1,alpha,0.5049296690866489
89,1,alpha,0.5049296690866489
90,1,alpha,0.5049296690866489
91,1,alpha,0.5049296690866489
92,1,alpha,0.5049296690866489
93,1,alpha,0.5049296690866489
94,1,alpha,0.5049296690866489
95,1,alpha,0.5049296690866489
96,1,alpha,0.5049296690866489
97,1,alpha,0.5049296690866489
98,1,alpha,0.5049296690866489
99,1,alpha,0.5049296690866489
100,1,alpha,0.5049296690866489
101,1,alpha,0.5049296690866489
102,1,alpha,0.5049296690866489
103,1,alpha,0.5049296690866489
104,1,alpha,0.5049296690866489
105,1,alpha,0.5049296690866489
106,1,alpha,0.5049296690866489
107,1,alpha,0.5049296690866489
108,1,alpha,0.5049296690866489
109,1,alpha,0.5049296690866489
110,1,alpha,0.5049296690866489
111,1,alpha,0.5049296690866489
112,1,alpha,0.5049296690866489
113,1,alpha,0.5049296690866489
114,1,alpha,0.5049296690866489
115,1,alpha,0.5049296690866489
116,1,alpha,0.5049296690866489
117,1,alpha,0.5049296690866489
118,1,alpha,0.5049296690866489
119,1,alpha,0.5049296690866489
120,1,alpha,0.5049296690866489
121,1,alpha,0.5049296690866489
122,1,alpha,0.5049296690866489
123,1,alpha,0.4858644444109794
124,1,alpha,0.4858644444109794
125,1,alpha,0.4858644444109794
126,1,alpha,0.4858644444109794
127,1,alpha,0.4858644444109794
128,1,alpha,0.4858644444109794
129,1,alpha,0.4858644444109794
130,1,alpha,0.4858644444109794
131,1,alpha,0.4858644444109794
132,1,alpha,0.4858644444109794
133,1,alpha,0.4858644444109794
134,1,alpha,0.4858644444109794
135,1,alpha,0.4858644444109794
136,1,alpha,0.4858644444109794
137,1,alpha,0.4858644444109794
138,1,alpha,0.4858644444109794
139,1,alpha,0.4858644444109794
140,1,alpha,0.4858644444109794
141,1,alpha,0.4858644444109794
142,1,alpha,0.17327106349444232
143,1,alpha,0.17327106349444232
144,1,alpha,0.17327106349444232
145,1,alpha,0.17327106349444232
146,1,alpha,0.17327106349444232
147,1,alpha,0.17327106349444232
148,1,alpha,0.17327106349444232
149,1,alpha,0.17327106349444232
150,1,alpha,0.17327106349444232
151,1,alpha,0.17327106349444232
152,1,alpha,0.17327106349444232
153,1,alpha,0.17327106349444232
154,1,alpha,0.17327106349444232
155,1,alpha,0.17327106349444232
156,1,alpha,0.17327106349444232
157,1,alpha,0.17327106349444232
158,1,alpha,0.17327106349444232
159,1,alpha,0.17327106349444232
160,1,alpha,0.17327106349444232
161,1,alpha,0.17327106349444232
162,1,alpha,0.17327106349444232
163,1,alpha,0.17327106349444232
164,1,alpha,0.17327106349444232
165,1,alpha,0.17327106349444232
166,1,alpha,0.17327106349444232
167,1,alpha,0.17327106349444232
168,1,alpha,0.17327106349444232
169,1,alpha,0.17327106349444232
170,1,alpha,0.17327106349444232
171,1,alpha,0.17327106349444232
172,1,alpha,0.17327106349444232
173,1,alpha,0.17327106349444232
174,1,alpha,0.17327106349444232
175,1,alpha,0.17327106349444232
176,1,alpha,0.17327106349444232
177,1,alpha,0.17327106349444232
178,1,alpha,0.17327106349444232
179,1,alpha,0.17327106349444232
180,1,alpha,0.17327106349444232
